,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
151150,Papua New Guinea,Oil products,Transformation,2002,0.0,4309392540.0
151151,Papua New Guinea,Oil products,"Transformation in electricity, CHP and heat plants",2002,0.0,4309392540.0
151152,Papua New Guinea,Oil products,"consumption by manufacturing, construction and non-fuel mining industry",2002,0.0,104590200.0
151153,Papua New Guinea,Oil products,"consumption by other manuf., const. and non-fuel min. ind.",2002,0.0,104590200.0
151154,Papua New Guinea,Oil products,production from refineries,2002,0.0,0.0
151155,Papua New Guinea,Oil products,Consumption by domestic aviation,2003,1.0,592712600.0
151156,Papua New Guinea,Oil products,Consumption by domestic navigation,2003,1.0,63211860.0
151157,Papua New Guinea,Oil products,Consumption by households,2003,1.0,382186660.0
151158,Papua New Guinea,Oil products,Consumption by industries not elsewhere specified,2003,0.0,129956740.6514
151159,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel industry",2003,0.0,162336390.0
151160,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel mining industry",2003,0.0,3917085370.6514
151161,Papua New Guinea,Oil products,Consumption by other,2003,3.0,565616180.0
151162,Papua New Guinea,Oil products,Consumption by other consumers not elsewhere specified,2003,1.0,28077400.000000004
151163,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel ind.",2003,0.0,162336390.0
151164,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel min. ind.",2003,0.0,3914882230.0
151165,Papua New Guinea,Oil products,"Consumption by other manufacturing, construction and non-fuel",2003,0.0,2203140.6514
151166,Papua New Guinea,Oil products,Consumption by transport,2003,2.0,3799503600.0
151167,Papua New Guinea,Oil products,"Consumption in agriculture, forestry and fishing",2003,1.0,155352120.0
151168,Papua New Guinea,Oil products,Consumption in road,2003,1.0,3143579140.0
151169,Papua New Guinea,Oil products,Consumption not elsewhere specified (industry),2003,0.0,4077218620.0
151170,Papua New Guinea,Oil products,Exports,2003,1.0,22200000.0
151171,Papua New Guinea,Oil products,Final consumption,2003,3.0,8572295140.6514
151172,Papua New Guinea,Oil products,Final energy consumption,2003,3.0,8572295140.6514
151173,Papua New Guinea,Oil products,Fuel oil,2003,0.0,4617093840.0
151174,Papua New Guinea,Oil products,Gas Oil/ Diesel Oil,2003,0.0,828547020.0
151175,Papua New Guinea,Oil products,Imports,2003,0.0,14659364545.0772
151176,Papua New Guinea,Oil products,International aviation bunkers,2003,1.0,395142140.0
151177,Papua New Guinea,Oil products,International marine bunkers,2003,1.0,373953218.9
151178,Papua New Guinea,Oil products,Production,2003,0.0,0.0
151179,Papua New Guinea,Oil products,Stock changes,2003,1.0,38219020.0
151180,Papua New Guinea,Oil products,Total energy supply,2003,0.0,13829850166.1772
151181,Papua New Guinea,Oil products,Transformation,2003,0.0,5445640860.0
151182,Papua New Guinea,Oil products,"Transformation in electricity, CHP and heat plants",2003,0.0,5445640860.0
151183,Papua New Guinea,Oil products,"consumption by manufacturing, construction and non-fuel mining industry",2003,0.0,127753600.0
151184,Papua New Guinea,Oil products,"consumption by other manuf., const. and non-fuel min. ind.",2003,0.0,127753600.0
151185,Papua New Guinea,Oil products,production from refineries,2003,0.0,0.0
151186,Papua New Guinea,Oil products,Consumption by domestic aviation,2004,1.0,642105520.0
151187,Papua New Guinea,Oil products,Consumption by domestic navigation,2004,1.0,67727080.0
151188,Papua New Guinea,Oil products,Consumption by households,2004,1.0,382186660.0
151189,Papua New Guinea,Oil products,Consumption by industries not elsewhere specified,2004,0.0,175040108.577
151190,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel industry",2004,0.0,267472260.0
151191,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel mining industry",2004,0.0,4219007898.577
151192,Papua New Guinea,Oil products,Consumption by other,2004,3.0,593289420.0
151193,Papua New Guinea,Oil products,Consumption by other consumers not elsewhere specified,2004,1.0,57088200.0
151194,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel ind.",2004,0.0,267472260.0
151195,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel min. ind.",2004,0.0,4215231090.0
151196,Papua New Guinea,Oil products,"Consumption by other manufacturing, construction and non-fuel",2004,0.0,3776808.577
151197,Papua New Guinea,Oil products,Consumption by transport,2004,2.0,4304595880.0
151198,Papua New Guinea,Oil products,"Consumption in agriculture, forestry and fishing",2004,1.0,154014560.0
151199,Papua New Guinea,Oil products,Consumption in road,2004,1.0,3594763280.0
151200,Papua New Guinea,Oil products,Consumption not elsewhere specified (industry),2004,0.0,4482703350.0
151201,Papua New Guinea,Oil products,Exports,2004,0.0,1314926003.6518
151202,Papua New Guinea,Oil products,Final consumption,2004,3.0,9555628758.577002
151203,Papua New Guinea,Oil products,Final energy consumption,2004,3.0,9555628758.577002
151204,Papua New Guinea,Oil products,Fuel oil,2004,0.0,4547031750.0
151205,Papua New Guinea,Oil products,Gas Oil/ Diesel Oil,2004,0.0,1960184660.0
