,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
62794,"Germany, Fed. R. (former)",Electricity,Gross production,1990,1.0,4525390000000.0
62795,"Germany, Fed. R. (former)",From combustible fuels,Main activity,1990,1.0,2240000000000.0
62796,"Germany, Fed. R. (former)",Hydro,Main activity,1990,1.0,167000000000.0
62797,"Germany, Fed. R. (former)",Nuclear,Main activity,1990,1.0,1460000000000.0
62798,"Germany, Fed. R. (former)",Wind,Main activity,1990,,290000000.0
62799,"Germany, Fed. R. (former)",From combustible fuels,Autoproducer,1990,1.0,622000000000.0
62800,"Germany, Fed. R. (former)",Hydro,Autoproducer,1990,1.0,25000000000.0
62801,"Germany, Fed. R. (former)",Nuclear,Autoproducer,1990,,10960000000.0
62802,"Germany, Fed. R. (former)",Wind,Autoproducer,1990,,140000000.0
62803,"Germany, Fed. R. (former)",Electricity,net production,1990,,4235390000000.0
62804,"Germany, Fed. R. (former)",Electricity,imports,1990,1.0,220000000000.0
62805,"Germany, Fed. R. (former)",Electricity,exports,1990,1.0,217000000000.0
62806,"Germany, Fed. R. (former)",Electricity,"Own use by electricity, heat and CHP plants",1990,1.0,290000000000.0
62807,"Germany, Fed. R. (former)",Electricity,Final energy consumption,1990,1.0,4238280000000.0
62808,"Germany, Fed. R. (former)",Electricity,"Consumption by manufacturing, construction and non-fuel industry",1990,1.0,1991760000000.0
62809,"Germany, Fed. R. (former)",Electricity,Consumption by iron and steel,1990,1.0,238370000000.0
62810,"Germany, Fed. R. (former)",Electricity,Consumption by chemical and petrochemical,1990,1.0,506570000000.0
62811,"Germany, Fed. R. (former)",Electricity,"Consumption by other manuf., const. and non-fuel ind.",1990,1.0,1246820000000.0
62812,"Germany, Fed. R. (former)",Electricity,Consumption by non-ferrous metals,1990,1.0,167220000000.0
62813,"Germany, Fed. R. (former)",Electricity,Consumption by non-metallic minerals,1990,1.0,132460000000.0
62814,"Germany, Fed. R. (former)",Electricity,Consumption by transport equipment,1990,1.0,130390000000.0
62815,"Germany, Fed. R. (former)",Electricity,Consumption by machinery,1990,1.0,77270000000.0
62816,"Germany, Fed. R. (former)",Electricity,Consumption by mining and quarrying,1990,1.0,48090000000.0
62817,"Germany, Fed. R. (former)",Electricity,Consumption by food and tobacco,1990,1.0,123500000000.0
62818,"Germany, Fed. R. (former)",Electricity,"Consumption by paper, pulp and print",1990,1.0,163170000000.0
62819,"Germany, Fed. R. (former)",Electricity,Consumption by wood and wood products,1990,1.0,35300000000.0
62820,"Germany, Fed. R. (former)",Electricity,Consumption by construction,1990,1.0,10710000000.0
62821,"Germany, Fed. R. (former)",Electricity,Consumption by textile and leather,1990,1.0,59130000000.0
62822,"Germany, Fed. R. (former)",Electricity,Consumption not elsewhere specified (industry),1990,1.0,299570000000.0
