,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
15285,New Caledonia,Hydro,Main activity,2013,,4563000000.0
15286,New Caledonia,Hydro,Main activity,2012,,3978000000.0
15287,New Caledonia,Hydro,Main activity,2011,,3757000000.0
15288,New Caledonia,Hydro,Main activity,2010,,2649000000.0
15289,New Caledonia,Hydro,Main activity,2009,,3984000000.0
15290,New Caledonia,Hydro,Main activity,2008,,4600000000.0
15291,New Caledonia,Hydro,Main activity,2007,,3900000000.0
15292,New Caledonia,Hydro,Main activity,2006,,2880000000.0
15293,New Caledonia,Hydro,Main activity,2005,,3390000000.0
15294,New Caledonia,Hydro,Main activity,2004,,3260000000.0
15295,New Caledonia,Hydro,Main activity,2003,,3230000000.0
15296,New Caledonia,Hydro,Main activity,2002,,3200000000.0
15297,New Caledonia,Hydro,Main activity,2001,,3670000000.0
15298,New Caledonia,Hydro,Main activity,2000,,4420000000.0
15299,New Caledonia,Hydro,Main activity,1999,,4660000000.0
15300,New Caledonia,Hydro,Main activity,1998,,3910000000.0
15301,New Caledonia,Hydro,Main activity,1997,,3590000000.0
15302,New Caledonia,Hydro,Main activity,1996,,3920000000.0
15303,New Caledonia,Hydro,Main activity,1995,,2290000000.0
15304,New Caledonia,Hydro,Main activity,1994,,2770000000.0
15305,New Caledonia,Hydro,Main activity,1993,,2400000000.0
15306,New Caledonia,Hydro,Main activity,1992,,2720000000.0
15307,New Caledonia,Hydro,Main activity,1991,,3430000000.0
15308,New Caledonia,Hydro,Main activity,1990,,4610000000.0
15309,New Caledonia,Solar,Main activity,2020,,1505000000.0
15310,New Caledonia,Solar,Main activity,2019,,1161000000.0
15311,New Caledonia,Solar,Main activity,2018,,467000000.0
15312,New Caledonia,Solar,Main activity,2017,,277000000.0
15313,New Caledonia,Solar,Main activity,2016,,114000000.0
15314,New Caledonia,Solar,Main activity,2015,,66300000.0
15315,New Caledonia,Solar,Main activity,2014,,45400000.0
15316,New Caledonia,Solar,Main activity,2013,,46700000.0
15317,New Caledonia,Solar,Main activity,2012,,46100000.0
15318,New Caledonia,Solar,Main activity,2011,,41500000.0
15319,New Caledonia,Solar,Main activity,2010,,34000000.0
15320,New Caledonia,Solar,Main activity,2009,,6000000.0
15321,New Caledonia,Solar,Main activity,2008,,6000000.0
15322,New Caledonia,Solar,Main activity,2007,,6000000.0
15323,New Caledonia,Solar photovoltaic,Main activity,2020,,1505000000.0
15324,New Caledonia,Solar photovoltaic,Main activity,2019,,1161000000.0
15325,New Caledonia,Solar photovoltaic,Main activity,2018,,467000000.0
15326,New Caledonia,Solar photovoltaic,Main activity,2017,,277000000.0
15327,New Caledonia,Solar photovoltaic,Main activity,2016,,114000000.0
15328,New Caledonia,Solar photovoltaic,Main activity,2015,,66300000.0
15329,New Caledonia,Solar photovoltaic,Main activity,2014,,45400000.0
15330,New Caledonia,Solar photovoltaic,Main activity,2013,,46700000.0
15331,New Caledonia,Solar photovoltaic,Main activity,2012,,46100000.0
15332,New Caledonia,Solar photovoltaic,Main activity,2011,,41500000.0
15333,New Caledonia,Solar photovoltaic,Main activity,2010,,34000000.0
15334,New Caledonia,Solar photovoltaic,Main activity,2009,,6000000.0
15335,New Caledonia,Solar photovoltaic,Main activity,2008,,6000000.0
15336,New Caledonia,Solar photovoltaic,Main activity,2007,,6000000.0
15337,New Caledonia,Wind,Main activity,2020,,486000000.0
15338,New Caledonia,Wind,Main activity,2019,,566000000.0
15339,New Caledonia,Wind,Main activity,2018,,450000000.0
15340,New Caledonia,Wind,Main activity,2017,,451000000.0
15341,New Caledonia,Wind,Main activity,2016,,451000000.0
15342,New Caledonia,Wind,Main activity,2015,,616000000.0
15343,New Caledonia,Wind,Main activity,2014,,572000000.0
15344,New Caledonia,Wind,Main activity,2013,,523000000.0
15345,New Caledonia,Wind,Main activity,2012,,571000000.0
15346,New Caledonia,Wind,Main activity,2011,,455000000.0
15347,New Caledonia,Wind,Main activity,2010,,517000000.0
15348,New Caledonia,Wind,Main activity,2009,,415000000.0
15349,New Caledonia,Wind,Main activity,2008,,360000000.0
15350,New Caledonia,Wind,Main activity,2007,,370000000.0
15351,New Caledonia,Wind,Main activity,2006,,280000000.0
15352,New Caledonia,Wind,Main activity,2005,,180000000.0
15353,New Caledonia,Wind,Main activity,2004,,110000000.0
15354,New Caledonia,Wind,Main activity,2003,,50000000.0
15355,New Caledonia,Wind,Main activity,2002,,80000000.0
15356,New Caledonia,Wind,Main activity,2001,,70000000.0
15357,New Caledonia,Wind,Main activity,2000,,70000000.0
15358,New Caledonia,Wind,Main activity,1999,,60000000.0
15359,New Caledonia,Wind,Main activity,1998,,60000000.0
15360,New Caledonia,Wind,Main activity,1997,,50000000.0
15361,New Caledonia,Wind,Main activity,1996,,20000000.0
15362,New Caledonia,Wind,Main activity,1995,,0.0
15363,New Caledonia,Wind,Main activity,1994,,0.0
15364,New Caledonia,Electricity,net production,2019,1.0,33290000000.0
15365,New Caledonia,Electricity,net production,2018,1.0,34850000000.0
15366,New Caledonia,Electricity,net production,2017,,32276000000.0
15367,New Caledonia,Electricity,net production,2016,,31299000000.0
15368,New Caledonia,Electricity,net production,2015,,29028000000.0
15369,New Caledonia,Electricity,net production,2014,,30108000000.0
15370,New Caledonia,Electricity,net production,2013,,25048000000.0
15371,New Caledonia,Electricity,net production,2012,,22873000000.0
15372,New Caledonia,Electricity,net production,2011,,22580000000.0
15373,New Caledonia,Electricity,net production,2010,,21317000000.0
15374,New Caledonia,Electricity,net production,2009,,19537000000.0
15375,New Caledonia,Electricity,net production,2008,,18760000000.0
15376,New Caledonia,Electricity,net production,2007,,18680000000.0
15377,New Caledonia,Electricity,net production,2006,,18150000000.0
15378,New Caledonia,Electricity,net production,2005,,18260000000.0
15379,New Caledonia,Electricity,net production,2004,,16190000000.0
15380,New Caledonia,Electricity,net production,2003,,17080000000.0
15381,New Caledonia,Electricity,net production,2002,,17000000000.0
15382,New Caledonia,Electricity,net production,2001,,16720000000.0
15383,New Caledonia,Electricity,net production,2000,,16280000000.0
15384,New Caledonia,Electricity,net production,1999,,16140000000.0
