,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
93428,Lebanon,Electricity,Gross production,2019,,238188180000.0
93429,Lebanon,Electricity,Gross production,2018,,231500000000.0
93430,Lebanon,Electricity,Gross production,2017,,234110000000.0
93431,Lebanon,Electricity,Gross production,2016,,214570000000.0
93432,Lebanon,Electricity,Gross production,2015,,207200000000.0
93433,Lebanon,Electricity,Gross production,2014,,197770000000.0
93434,Lebanon,Electricity,Gross production,2013,,174900000000.0
93435,Lebanon,Electricity,Gross production,2012,,148270000000.0
93436,Lebanon,Electricity,Gross production,2011,,163660000000.0
93437,Lebanon,Electricity,Gross production,2010,,157120000000.0
93438,Lebanon,Electricity,Gross production,2009,,137710000000.0
93439,Lebanon,Electricity,Gross production,2008,,133110000000.0
93440,Lebanon,Electricity,Gross production,2007,,120350000000.0
93441,Lebanon,Electricity,Gross production,2006,,115370000000.0
93442,Lebanon,Electricity,Gross production,2005,,123390000000.0
93443,Lebanon,Electricity,Gross production,2004,,123480000000.0
93444,Lebanon,Electricity,Gross production,2003,,125820000000.0
93445,Lebanon,Electricity,Gross production,2002,,116320000000.0
93446,Lebanon,Electricity,Gross production,2001,,100800000000.0
93447,Lebanon,Electricity,Gross production,2000,,96750000000.0
93448,Lebanon,Electricity,Gross production,1999,,99970000000.0
93449,Lebanon,Electricity,Gross production,1998,,101630000000.0
93450,Lebanon,Electricity,Gross production,1997,,85150000000.0
93451,Lebanon,Electricity,Gross production,1996,,69650000000.0
93452,Lebanon,Electricity,Gross production,1995,,55730000000.0
93453,Lebanon,Electricity,Gross production,1994,1.0,52500000000.0
93454,Lebanon,Electricity,Gross production,1993,1.0,45100000000.0
93455,Lebanon,Electricity,Gross production,1992,1.0,39000000000.0
93456,Lebanon,Electricity,Gross production,1991,1.0,36410000000.0
93457,Lebanon,Electricity,Gross production,1990,1.0,28250000000.0
93458,Lebanon,From combustible fuels,Main activity,2019,,137370900000.0
93459,Lebanon,From combustible fuels,Main activity,2018,,148860000000.0
93460,Lebanon,From combustible fuels,Main activity,2017,,140830000000.0
93461,Lebanon,From combustible fuels,Main activity,2016,,126780000000.0
93462,Lebanon,From combustible fuels,Main activity,2015,,117740000000.0
93463,Lebanon,From combustible fuels,Main activity,2014,,121940000000.0
93464,Lebanon,From combustible fuels,Main activity,2013,,92180000000.0
93465,Lebanon,From combustible fuels,Main activity,2012,,78190000000.0
93466,Lebanon,From combustible fuels,Main activity,2011,,108100000000.0
93467,Lebanon,From combustible fuels,Main activity,2010,,103730000000.0
93468,Lebanon,From combustible fuels,Main activity,2009,,101880000000.0
93469,Lebanon,From combustible fuels,Main activity,2008,,102540000000.0
93470,Lebanon,From combustible fuels,Main activity,2007,,89900000000.0
93471,Lebanon,From combustible fuels,Main activity,2006,,85920000000.0
93472,Lebanon,From combustible fuels,Main activity,2005,,90780000000.0
93473,Lebanon,From combustible fuels,Main activity,2004,,90720000000.0
93474,Lebanon,From combustible fuels,Main activity,2003,,91840000000.0
93475,Lebanon,From combustible fuels,Main activity,2002,,89820000000.0
93476,Lebanon,From combustible fuels,Main activity,2001,,78420000000.0
93477,Lebanon,From combustible fuels,Main activity,2000,,73900000000.0
93478,Lebanon,From combustible fuels,Main activity,1999,,78530000000.0
93479,Lebanon,From combustible fuels,Main activity,1998,,75580000000.0
93480,Lebanon,From combustible fuels,Main activity,1997,,76140000000.0
93481,Lebanon,From combustible fuels,Main activity,1996,,61670000000.0
93482,Lebanon,From combustible fuels,Main activity,1995,,47030000000.0
93483,Lebanon,From combustible fuels,Main activity,1994,1.0,42000000000.0
93484,Lebanon,From combustible fuels,Main activity,1993,1.0,35000000000.0
93485,Lebanon,From combustible fuels,Main activity,1992,1.0,32700000000.0
93486,Lebanon,From combustible fuels,Main activity,1991,1.0,30510000000.0
93487,Lebanon,From combustible fuels,Main activity,1990,1.0,24400000000.0
93488,Lebanon,From combustible fuels,From combustible fuels,2019,,137370900000.0
