,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
55795,Sudan (former),Electricity,Gross production,2011,,84550000000.0
55796,Sudan (former),Electricity,Gross production,2010,,74990000000.0
55797,Sudan (former),Electricity,Gross production,2009,,64910000000.0
55798,Sudan (former),Electricity,Gross production,2008,,55060000000.0
55799,Sudan (former),Electricity,Gross production,2007,,50210000000.0
55800,Sudan (former),Electricity,Gross production,2006,,45210000000.0
55801,Sudan (former),Electricity,Gross production,2005,,38260000000.0
55802,Sudan (former),Electricity,Gross production,2004,,34670000000.0
55803,Sudan (former),Electricity,Gross production,2003,,33540000000.0
55804,Sudan (former),Electricity,Gross production,2002,,28970000000.0
55805,Sudan (former),Electricity,Gross production,2001,,25600000000.0
55806,Sudan (former),Electricity,Gross production,2000,,24500000000.0
55807,Sudan (former),Electricity,Gross production,1999,,24230000000.0
55808,Sudan (former),Electricity,Gross production,1998,,19660000000.0
55809,Sudan (former),Electricity,Gross production,1997,1.0,19970000000.0
55810,Sudan (former),Electricity,Gross production,1996,1.0,15470000000.0
55811,Sudan (former),Electricity,Gross production,1995,1.0,14210000000.0
55812,Sudan (former),Electricity,Gross production,1994,1.0,13450000000.0
55813,Sudan (former),Electricity,Gross production,1993,1.0,13280000000.0
55814,Sudan (former),Electricity,Gross production,1992,1.0,13250000000.0
55815,Sudan (former),Electricity,Gross production,1991,1.0,13290000000.0
55816,Sudan (former),Electricity,Gross production,1990,1.0,13270000000.0
55817,Sudan (former),From combustible fuels,Main activity,2011,,19880000000.0
55818,Sudan (former),From combustible fuels,Main activity,2010,,12970000000.0
55819,Sudan (former),From combustible fuels,Main activity,2009,,32630000000.0
55820,Sudan (former),From combustible fuels,Main activity,2008,,40430000000.0
55821,Sudan (former),From combustible fuels,Main activity,2007,,35700000000.0
55822,Sudan (former),From combustible fuels,Main activity,2006,,31510000000.0
55823,Sudan (former),From combustible fuels,Main activity,2005,,25650000000.0
55824,Sudan (former),From combustible fuels,Main activity,2004,,23600000000.0
55825,Sudan (former),From combustible fuels,Main activity,2003,,21910000000.0
55826,Sudan (former),From combustible fuels,Main activity,2002,,16100000000.0
55827,Sudan (former),From combustible fuels,Main activity,2001,,13240000000.0
55828,Sudan (former),From combustible fuels,Main activity,2000,,12670000000.0
55829,Sudan (former),From combustible fuels,Main activity,1999,,12130000000.0
55830,Sudan (former),From combustible fuels,Main activity,1998,,9230000000.0
55831,Sudan (former),From combustible fuels,Main activity,1997,1.0,9000000000.0
55832,Sudan (former),From combustible fuels,Main activity,1996,1.0,4700000000.0
55833,Sudan (former),From combustible fuels,Main activity,1995,1.0,3660000000.0
55834,Sudan (former),From combustible fuels,Main activity,1994,1.0,2850000000.0
55835,Sudan (former),From combustible fuels,Main activity,1993,1.0,2680000000.0
55836,Sudan (former),From combustible fuels,Main activity,1992,1.0,2650000000.0
55837,Sudan (former),From combustible fuels,Main activity,1991,1.0,2630000000.0
55838,Sudan (former),From combustible fuels,Main activity,1990,1.0,2640000000.0
55839,Sudan (former),From combustible fuels,From combustible fuels,2011,,19880000000.0
55840,Sudan (former),From combustible fuels,From combustible fuels,2010,,12970000000.0
55841,Sudan (former),From combustible fuels,From combustible fuels,2009,,32630000000.0
55842,Sudan (former),From combustible fuels,From combustible fuels,2008,,40430000000.0
55843,Sudan (former),From combustible fuels,From combustible fuels,2007,,35700000000.0
55844,Sudan (former),Hydro,Main activity,2011,,64670000000.0
55845,Sudan (former),Hydro,Main activity,2010,,62020000000.0
55846,Sudan (former),Hydro,Main activity,2009,,32280000000.0
55847,Sudan (former),Hydro,Main activity,2008,,14630000000.0
55848,Sudan (former),Hydro,Main activity,2007,,14510000000.0
