,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
89742,Kosovo,Electricity,Gross production,2019,,63506940000.00001
89743,Kosovo,Electricity,Gross production,2018,,59170000000.0
89744,Kosovo,Electricity,Gross production,2017,,59191400000.0
89745,Kosovo,Electricity,Gross production,2016,,59810000000.0
89746,Kosovo,Electricity,Gross production,2015,,61190000000.0
89747,Kosovo,Electricity,Gross production,2014,,54360000000.0
89748,Kosovo,Electricity,Gross production,2013,,65250000000.0
89749,Kosovo,Electricity,Gross production,2012,,59430000000.0
89750,Kosovo,Electricity,Gross production,2011,,58010000000.0
89751,Kosovo,Electricity,Gross production,2010,,51680000000.0
89752,Kosovo,Electricity,Gross production,2009,,49760000000.0
89753,Kosovo,Electricity,Gross production,2008,,51620000000.0
89754,Kosovo,Electricity,Gross production,2007,,48350000000.0
89755,Kosovo,Electricity,Gross production,2006,,44340000000.0
89756,Kosovo,Electricity,Gross production,2005,,44580000000.0
89757,Kosovo,Electricity,Gross production,2004,,40820000000.0
89758,Kosovo,Electricity,Gross production,2003,,36300000000.0
89759,Kosovo,Electricity,Gross production,2002,,37150000000.0
89760,Kosovo,Electricity,Gross production,2001,,37400000000.0
89761,Kosovo,Electricity,Gross production,2000,,29570000000.0
89762,Kosovo,From combustible fuels,Main activity,2019,,60365750000.0
89763,Kosovo,From combustible fuels,Main activity,2018,,56120000000.0
89764,Kosovo,From combustible fuels,Main activity,2017,,57390000000.0
89765,Kosovo,From combustible fuels,Main activity,2016,,57360000000.0
89766,Kosovo,From combustible fuels,Main activity,2015,,59790000000.0
89767,Kosovo,From combustible fuels,Main activity,2014,,52850000000.0
89768,Kosovo,From combustible fuels,Main activity,2013,,63820000000.0
89769,Kosovo,From combustible fuels,Main activity,2012,,58470000000.0
89770,Kosovo,From combustible fuels,Main activity,2011,,56960000000.0
89771,Kosovo,From combustible fuels,Main activity,2010,,50110000000.0
89772,Kosovo,From combustible fuels,Main activity,2009,,48560000000.0
89773,Kosovo,From combustible fuels,Main activity,2008,,50860000000.0
89774,Kosovo,From combustible fuels,Main activity,2007,,47410000000.0
89775,Kosovo,From combustible fuels,Main activity,2006,,43330000000.0
89776,Kosovo,From combustible fuels,Main activity,2005,,43460000000.0
89777,Kosovo,From combustible fuels,Main activity,2004,,39690000000.0
89778,Kosovo,From combustible fuels,Main activity,2003,,35780000000.0
89779,Kosovo,From combustible fuels,Main activity,2002,,36630000000.0
89780,Kosovo,From combustible fuels,Main activity,2001,,36880000000.0
89781,Kosovo,From combustible fuels,Main activity,2000,,29050000000.0
89782,Kosovo,From combustible fuels,From combustible fuels,2019,,60365750000.0
89783,Kosovo,From combustible fuels,From combustible fuels,2018,,56120000000.0
89784,Kosovo,From combustible fuels,From combustible fuels,2017,,57390000000.0
89785,Kosovo,From combustible fuels,From combustible fuels,2016,,57360000000.0
89786,Kosovo,From combustible fuels,From combustible fuels,2015,,59790000000.0
