,source,target,value,year,estimation
0,Oil products - imports,imports,495100000.0,1990,12.0
1,Oil products - imports,imports,535880000.0,1991,12.0
2,Oil products - imports,imports,586320000.0,1992,12.0
3,Oil products - imports,imports,636620000.0,1993,12.0
4,Oil products - imports,imports,691700000.0,1994,12.0
5,Oil products - imports,imports,753760000.0,1995,12.0
6,Oil products - imports,imports,789740000.0,1996,12.0
7,Oil products - imports,imports,854200000.0,1997,12.0
8,Oil products - imports,imports,925900000.0,1998,12.0
9,Oil products - imports,imports,1021320000.0,1999,12.0
10,Oil products - imports,imports,1138380000.0,2000,12.0
11,Oil products - imports,imports,1240880000.0000002,2001,12.0
12,Oil products - imports,imports,1186525000.0,2002,0.0
13,Oil products - imports,imports,1420535000.0,2003,12.0
14,Oil products - imports,imports,1514050000.0,2004,12.0
15,Oil products - imports,imports,1645620000.0,2005,12.0
16,Oil products - imports,imports,1757450000.0,2006,0.0
17,Oil products - imports,imports,1921360000.0,2007,0.0
18,Oil products - imports,imports,2161795000.0,2008,0.0
19,Oil products - imports,imports,2334785000.0,2009,0.0
20,Oil products - imports,imports,2288425000.0000005,2010,0.0
21,Oil products - imports,imports,1099662500.0,2011,0.0
22,Oil products - imports,imports,1180535000.0,2012,1.0
23,Oil products - imports,imports,1224595000.0,2013,1.0
24,Oil products - imports,imports,1318815000.0,2014,0.0
25,Oil products - imports,imports,1372888196.8,2015,1.0
26,Oil products - imports,imports,1447672212.1035032,2016,1.0
27,Solid biofuels - imports,imports,32200.0,2007,0.0
28,Solid biofuels - imports,imports,128800.0,2008,0.0
29,Solid biofuels - imports,imports,724500.0,2009,0.0
30,Solid biofuels - imports,imports,1336300.0,2010,0.0
31,Solid biofuels - imports,imports,6874700.0,2011,0.0
32,Solid biofuels - imports,imports,8050000.0,2012,1.0
33,Solid biofuels - imports,imports,8050000.0,2013,1.0
34,Solid biofuels - imports,imports,8050000.0,2014,1.0
35,Solid biofuels - imports,imports,8855000.0,2015,1.0
36,Solid biofuels - imports,imports,8855000.0,2016,1.0
37,Solid biofuels - production,production,182500000.0,1990,2.0
38,Solid biofuels - production,production,182500000.0,1991,2.0
39,Solid biofuels - production,production,182500000.0,1992,0.0
40,Solid biofuels - production,production,182500000.0,1993,0.0
41,Solid biofuels - production,production,182500000.0,1994,0.0
42,Solid biofuels - production,production,182500000.0,1995,0.0
43,Solid biofuels - production,production,182500000.0,1996,0.0
44,Solid biofuels - production,production,182500000.0,1997,0.0
45,Solid biofuels - production,production,182500000.0,1998,0.0
46,Solid biofuels - production,production,182500000.0,1999,0.0
47,Solid biofuels - production,production,144500000.0,2000,0.0
48,Solid biofuels - production,production,144500000.0,2001,0.0
49,Solid biofuels - production,production,144500000.0,2002,0.0
50,Solid biofuels - production,production,144500000.0,2003,0.0
51,Solid biofuels - production,production,144500000.0,2004,0.0
52,Solid biofuels - production,production,132500000.0,2005,0.0
53,Solid biofuels - production,production,132500000.0,2006,0.0
54,Solid biofuels - production,production,132500000.0,2007,0.0
55,Solid biofuels - production,production,132500000.0,2008,0.0
56,Solid biofuels - production,production,132500000.0,2009,0.0
57,Solid biofuels - production,production,132500000.0,2010,0.0
58,Solid biofuels - production,production,66250000.0,2011,0.0
59,Solid biofuels - production,production,66250000.0,2012,0.0
60,Solid biofuels - production,production,66250000.0,2013,0.0
61,Solid biofuels - production,production,66250000.0,2014,0.0
62,Solid biofuels - production,production,66250000.0,2015,0.0
63,Solid biofuels - production,production,66250000.0,2016,0.0
64,final consumption,Oil products - final consumption,336700000.0,1990,10.0
65,final consumption,Oil products - final consumption,365520000.0,1991,10.0
66,final consumption,Oil products - final consumption,399300000.0,1992,10.0
67,final consumption,Oil products - final consumption,428120000.0,1993,10.0
68,final consumption,Oil products - final consumption,454580000.0,1994,10.0
69,final consumption,Oil products - final consumption,480880000.0,1995,10.0
70,final consumption,Oil products - final consumption,507340000.0,1996,10.0
71,final consumption,Oil products - final consumption,543180000.0,1997,10.0
72,final consumption,Oil products - final consumption,576740000.0,1998,10.0
73,final consumption,Oil products - final consumption,600700000.0,1999,10.0
74,final consumption,Oil products - final consumption,603460000.0,2000,10.0
75,final consumption,Oil products - final consumption,624980000.0,2001,10.0
76,final consumption,Oil products - final consumption,627685000.0,2002,0.0
77,final consumption,Oil products - final consumption,659335000.0,2003,10.0
78,final consumption,Oil products - final consumption,693290000.0,2004,10.0
79,final consumption,Oil products - final consumption,748420000.0,2005,10.0
80,final consumption,Oil products - final consumption,779430000.0,2006,0.0
81,final consumption,Oil products - final consumption,804920000.0,2007,0.0
82,final consumption,Oil products - final consumption,871392000.0,2008,0.0
83,final consumption,Oil products - final consumption,884592000.0,2009,0.0
84,final consumption,Oil products - final consumption,870587000.0,2010,0.0
85,final consumption,Oil products - final consumption,418791000.0,2011,0.0
86,final consumption,Oil products - final consumption,454505000.0,2012,3.0
87,final consumption,Oil products - final consumption,472535000.0,2013,3.0
88,final consumption,Oil products - final consumption,528555000.0,2014,3.0
89,final consumption,Oil products - final consumption,547595000.0,2015,3.0
90,final consumption,Oil products - final consumption,556910236.2143381,2016,3.0
91,final consumption,Solid biofuels - final consumption,182500000.0,1990,2.0
92,final consumption,Solid biofuels - final consumption,182500000.0,1991,2.0
93,final consumption,Solid biofuels - final consumption,182500000.0,1992,2.0
94,final consumption,Solid biofuels - final consumption,182500000.0,1993,2.0
95,final consumption,Solid biofuels - final consumption,182500000.0,1994,2.0
96,final consumption,Solid biofuels - final consumption,182500000.0,1995,2.0
97,final consumption,Solid biofuels - final consumption,182500000.0,1996,2.0
98,final consumption,Solid biofuels - final consumption,182500000.0,1997,2.0
99,final consumption,Solid biofuels - final consumption,182500000.0,1998,2.0
100,final consumption,Solid biofuels - final consumption,182500000.0,1999,2.0
101,final consumption,Solid biofuels - final consumption,144500000.0,2000,2.0
102,final consumption,Solid biofuels - final consumption,144500000.0,2001,2.0
103,final consumption,Solid biofuels - final consumption,144500000.0,2002,2.0
104,final consumption,Solid biofuels - final consumption,144500000.0,2003,2.0
105,final consumption,Solid biofuels - final consumption,144500000.0,2004,2.0
106,final consumption,Solid biofuels - final consumption,132500000.0,2005,2.0
107,final consumption,Solid biofuels - final consumption,132500000.0,2006,2.0
108,final consumption,Solid biofuels - final consumption,132532200.0,2007,2.0
109,final consumption,Solid biofuels - final consumption,132628800.0,2008,2.0
110,final consumption,Solid biofuels - final consumption,133224500.0,2009,2.0
111,final consumption,Solid biofuels - final consumption,133836300.0,2010,2.0
112,final consumption,Solid biofuels - final consumption,73124700.0,2011,1.0
113,final consumption,Solid biofuels - final consumption,74300000.0,2012,2.0
114,final consumption,Solid biofuels - final consumption,74300000.0,2013,2.0
115,final consumption,Solid biofuels - final consumption,74300000.0,2014,2.0
116,final consumption,Solid biofuels - final consumption,75105000.0,2015,2.0
117,final consumption,Solid biofuels - final consumption,75105000.0,2016,2.0
118,losses,Electricity - losses,100000000.0,2016,1.0
119,losses,Electricity - losses,100000000.0,2015,1.0
120,losses,Electricity - losses,100000000.0,2014,0.0
121,losses,Electricity - losses,100000000.0,2013,0.0
122,losses,Electricity - losses,110000000.0,2012,0.0
123,losses,Electricity - losses,100000000.0,2011,1.0
124,losses,Electricity - losses,100000000.0,2010,1.0
125,losses,Electricity - losses,90000000.0,2009,1.0
126,losses,Electricity - losses,100000000.0,2008,1.0
127,losses,Electricity - losses,90000000.0,2007,1.0
128,losses,Electricity - losses,80000000.0,2006,1.0
129,losses,Electricity - losses,70000000.0,2005,1.0
130,losses,Electricity - losses,60000000.0,2004,1.0
131,losses,Electricity - losses,60000000.0,2003,1.0
132,losses,Electricity - losses,60000000.0,2002,1.0
133,losses,Electricity - losses,50000000.0,2001,1.0
134,losses,Electricity - losses,40000000.0,2000,1.0
135,losses,Electricity - losses,30000000.0,1999,1.0
136,losses,Electricity - losses,30000000.0,1998,1.0
137,losses,Electricity - losses,20000000.0,1997,1.0
138,losses,Electricity - losses,20000000.0,1996,1.0
139,losses,Electricity - losses,20000000.0,1995,1.0
140,losses,Electricity - losses,20000000.0,1994,1.0
141,losses,Electricity - losses,20000000.0,1993,1.0
142,losses,Electricity - losses,15000000.0,1992,1.0
143,losses,Electricity - losses,10000000.0,1991,1.0
144,losses,Electricity - losses,10000000.0,1990,1.0
145,losses,Electricity - losses,100000000.0,2010,1.0
146,losses,Electricity - losses,90000000.0,2009,1.0
147,losses,Electricity - losses,100000000.0,2008,1.0
148,losses,Electricity - losses,90000000.0,2007,1.0
149,losses,Electricity - losses,80000000.0,2006,1.0
150,losses,Electricity - losses,70000000.0,2005,1.0
151,losses,Electricity - losses,60000000.0,2004,1.0
152,losses,Electricity - losses,60000000.0,2003,1.0
153,losses,Electricity - losses,60000000.0,2002,1.0
154,losses,Electricity - losses,50000000.0,2001,1.0
155,losses,Electricity - losses,40000000.0,2000,1.0
156,losses,Electricity - losses,30000000.0,1999,1.0
157,losses,Electricity - losses,30000000.0,1998,1.0
158,losses,Electricity - losses,20000000.0,1997,1.0
159,losses,Electricity - losses,20000000.0,1996,1.0
160,losses,Electricity - losses,20000000.0,1995,1.0
161,losses,Electricity - losses,20000000.0,1994,1.0
162,losses,Electricity - losses,20000000.0,1993,1.0
163,losses,Electricity - losses,15000000.0,1992,1.0
164,losses,Electricity - losses,10000000.0,1991,1.0
165,losses,Electricity - losses,10000000.0,1990,1.0
166,imports,Total amount of energy,495100000.0,1990,12.0
167,imports,Total amount of energy,535880000.0,1991,12.0
168,imports,Total amount of energy,586320000.0,1992,12.0
169,imports,Total amount of energy,636620000.0,1993,12.0
170,imports,Total amount of energy,691700000.0,1994,12.0
171,imports,Total amount of energy,753760000.0,1995,12.0
172,imports,Total amount of energy,789740000.0,1996,12.0
173,imports,Total amount of energy,854200000.0,1997,12.0
174,imports,Total amount of energy,925900000.0,1998,12.0
175,imports,Total amount of energy,1021320000.0,1999,12.0
176,imports,Total amount of energy,1138380000.0,2000,12.0
177,imports,Total amount of energy,1240880000.0000002,2001,12.0
178,imports,Total amount of energy,1186525000.0,2002,0.0
179,imports,Total amount of energy,1420535000.0,2003,12.0
180,imports,Total amount of energy,1514050000.0,2004,12.0
181,imports,Total amount of energy,1645620000.0,2005,12.0
182,imports,Total amount of energy,1757450000.0,2006,0.0
183,imports,Total amount of energy,1921360000.0,2007,0.0
184,imports,Total amount of energy,2161795000.0,2008,0.0
185,imports,Total amount of energy,2334785000.0,2009,0.0
186,imports,Total amount of energy,2288425000.0000005,2010,0.0
187,imports,Total amount of energy,1099662500.0,2011,0.0
188,imports,Total amount of energy,1180535000.0,2012,1.0
189,imports,Total amount of energy,1224595000.0,2013,1.0
190,imports,Total amount of energy,1318815000.0,2014,0.0
191,imports,Total amount of energy,1372888196.8,2015,1.0
192,imports,Total amount of energy,1447672212.1035032,2016,1.0
193,imports,Total amount of energy,32200.0,2007,0.0
194,imports,Total amount of energy,128800.0,2008,0.0
195,imports,Total amount of energy,724500.0,2009,0.0
196,imports,Total amount of energy,1336300.0,2010,0.0
197,imports,Total amount of energy,6874700.0,2011,0.0
198,imports,Total amount of energy,8050000.0,2012,1.0
199,imports,Total amount of energy,8050000.0,2013,1.0
200,imports,Total amount of energy,8050000.0,2014,1.0
201,imports,Total amount of energy,8855000.0,2015,1.0
202,imports,Total amount of energy,8855000.0,2016,1.0
203,production,Total amount of energy,182500000.0,1990,2.0
204,production,Total amount of energy,182500000.0,1991,2.0
205,production,Total amount of energy,182500000.0,1992,0.0
206,production,Total amount of energy,182500000.0,1993,0.0
207,production,Total amount of energy,182500000.0,1994,0.0
208,production,Total amount of energy,182500000.0,1995,0.0
209,production,Total amount of energy,182500000.0,1996,0.0
210,production,Total amount of energy,182500000.0,1997,0.0
211,production,Total amount of energy,182500000.0,1998,0.0
212,production,Total amount of energy,182500000.0,1999,0.0
213,production,Total amount of energy,144500000.0,2000,0.0
214,production,Total amount of energy,144500000.0,2001,0.0
215,production,Total amount of energy,144500000.0,2002,0.0
216,production,Total amount of energy,144500000.0,2003,0.0
217,production,Total amount of energy,144500000.0,2004,0.0
218,production,Total amount of energy,132500000.0,2005,0.0
219,production,Total amount of energy,132500000.0,2006,0.0
220,production,Total amount of energy,132500000.0,2007,0.0
221,production,Total amount of energy,132500000.0,2008,0.0
222,production,Total amount of energy,132500000.0,2009,0.0
223,production,Total amount of energy,132500000.0,2010,0.0
224,production,Total amount of energy,66250000.0,2011,0.0
225,production,Total amount of energy,66250000.0,2012,0.0
226,production,Total amount of energy,66250000.0,2013,0.0
227,production,Total amount of energy,66250000.0,2014,0.0
228,production,Total amount of energy,66250000.0,2015,0.0
229,production,Total amount of energy,66250000.0,2016,0.0
230,Total amount of energy,final consumption,336700000.0,1990,10.0
231,Total amount of energy,final consumption,365520000.0,1991,10.0
232,Total amount of energy,final consumption,399300000.0,1992,10.0
233,Total amount of energy,final consumption,428120000.0,1993,10.0
234,Total amount of energy,final consumption,454580000.0,1994,10.0
235,Total amount of energy,final consumption,480880000.0,1995,10.0
236,Total amount of energy,final consumption,507340000.0,1996,10.0
237,Total amount of energy,final consumption,543180000.0,1997,10.0
238,Total amount of energy,final consumption,576740000.0,1998,10.0
239,Total amount of energy,final consumption,600700000.0,1999,10.0
240,Total amount of energy,final consumption,603460000.0,2000,10.0
241,Total amount of energy,final consumption,624980000.0,2001,10.0
242,Total amount of energy,final consumption,627685000.0,2002,0.0
243,Total amount of energy,final consumption,659335000.0,2003,10.0
244,Total amount of energy,final consumption,693290000.0,2004,10.0
245,Total amount of energy,final consumption,748420000.0,2005,10.0
246,Total amount of energy,final consumption,779430000.0,2006,0.0
247,Total amount of energy,final consumption,804920000.0,2007,0.0
248,Total amount of energy,final consumption,871392000.0,2008,0.0
249,Total amount of energy,final consumption,884592000.0,2009,0.0
250,Total amount of energy,final consumption,870587000.0,2010,0.0
251,Total amount of energy,final consumption,418791000.0,2011,0.0
252,Total amount of energy,final consumption,454505000.0,2012,3.0
253,Total amount of energy,final consumption,472535000.0,2013,3.0
254,Total amount of energy,final consumption,528555000.0,2014,3.0
255,Total amount of energy,final consumption,547595000.0,2015,3.0
256,Total amount of energy,final consumption,556910236.2143381,2016,3.0
257,Total amount of energy,final consumption,182500000.0,1990,2.0
258,Total amount of energy,final consumption,182500000.0,1991,2.0
259,Total amount of energy,final consumption,182500000.0,1992,2.0
260,Total amount of energy,final consumption,182500000.0,1993,2.0
261,Total amount of energy,final consumption,182500000.0,1994,2.0
262,Total amount of energy,final consumption,182500000.0,1995,2.0
