,source,target,value,year,estimation
0,exports,Conventional crude oil - exports,62151616800.0,2019,0
1,exports,Conventional crude oil - exports,53475353099.99999,2018,0
2,exports,Conventional crude oil - exports,56990700000.0,2017,0
3,exports,Conventional crude oil - exports,60945300000.0,2016,0
4,exports,Conventional crude oil - exports,67427100000.0,2015,0
5,exports,Conventional crude oil - exports,62735400000.0,2014,0
6,exports,Conventional crude oil - exports,68117400000.0,2013,0
7,exports,Conventional crude oil - exports,80964000000.0,2012,0
8,exports,Conventional crude oil - exports,78858000000.0,2011,0
9,exports,Conventional crude oil - exports,85901400000.0,2010,0
10,exports,Conventional crude oil - exports,82648800000.0,2009,0
11,exports,Conventional crude oil - exports,95495400000.0,2008,0
12,exports,Conventional crude oil - exports,99719100000.0,2007,0
13,exports,Conventional crude oil - exports,121040690940.0,2006,0
14,exports,Conventional crude oil - exports,111666619350.00002,2005,0
15,exports,Conventional crude oil - exports,111756007350.0,2004,0
16,exports,Conventional crude oil - exports,114766506270.0,2003,0
17,exports,Conventional crude oil - exports,111282498989.99998,2002,0
18,exports,Conventional crude oil - exports,105885000000.0,2001,0
19,exports,Conventional crude oil - exports,105978600000.0,2000,0
20,exports,Conventional crude oil - exports,97964100000.0,1999,0
21,exports,Conventional crude oil - exports,83491200000.0,1998,1.0
22,exports,Conventional crude oil - exports,92664000000.0,1997,1.0
23,exports,Conventional crude oil - exports,93951000000.0,1996,0
24,exports,Conventional crude oil - exports,97917300000.0,1995,0
25,exports,Conventional crude oil - exports,101602800000.0,1994,0
26,exports,Conventional crude oil - exports,99321300000.0,1993,0
27,exports,Conventional crude oil - exports,102960000000.0,1992,0
28,exports,Conventional crude oil - exports,94524300000.0,1991,0
29,exports,Conventional crude oil - exports,85796100000.0,1990,0
30,exports,Natural gas (including LNG) - exports,79893397248.0,2020,0
31,exports,Natural gas (including LNG) - exports,84720984721.178,2019,0
32,exports,Natural gas (including LNG) - exports,85550068440.0,2018,0
33,exports,Natural gas (including LNG) - exports,90892850492.0,2017,0
34,exports,Natural gas (including LNG) - exports,87524792242.0,2016,0
35,exports,Natural gas (including LNG) - exports,92872852076.0,2015,0
36,exports,Natural gas (including LNG) - exports,90235627744.0,2014,0
37,exports,Natural gas (including LNG) - exports,99762024254.0,2013,0
