,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Afghanistan,Electricity - total solar production,Electricity,total solar production,2020,"Kilowatt-hours, million",31.93,
1,Afghanistan,Electricity - total solar production,Electricity,total solar production,2019,"Kilowatt-hours, million",20.77,
2,Albania,Electricity - total solar production,Electricity,total solar production,2020,"Kilowatt-hours, million",32.26,
3,Albania,Electricity - total solar production,Electricity,total solar production,2019,"Kilowatt-hours, million",22.196,
4,Algeria,Electricity - total solar production,Electricity,total solar production,2019,"Kilowatt-hours, million",678.05,1
5,Algeria,Electricity - total solar production,Electricity,total solar production,2018,"Kilowatt-hours, million",654.66,1
6,Algeria,Electricity - total solar production,Electricity,total solar production,2017,"Kilowatt-hours, million",559.711,1
7,Algeria,Electricity - total solar production,Electricity,total solar production,2016,"Kilowatt-hours, million",339.1,1
8,Algeria,Electricity - total solar production,Electricity,total solar production,2015,"Kilowatt-hours, million",161.954,1
9,Algeria,Electricity - total solar production,Electricity,total solar production,2014,"Kilowatt-hours, million",197.733,1
10,American Samoa,Electricity - total solar production,Electricity,total solar production,2019,"Kilowatt-hours, million",5.082,1
11,American Samoa,Electricity - total solar production,Electricity,total solar production,2018,"Kilowatt-hours, million",4.832,
12,American Samoa,Electricity - total solar production,Electricity,total solar production,2017,"Kilowatt-hours, million",4.832,
13,American Samoa,Electricity - total solar production,Electricity,total solar production,2016,"Kilowatt-hours, million",2.92,
14,American Samoa,Electricity - total solar production,Electricity,total solar production,2015,"Kilowatt-hours, million",2.35,
15,American Samoa,Electricity - total solar production,Electricity,total solar production,2014,"Kilowatt-hours, million",2.37,
16,American Samoa,Electricity - total solar production,Electricity,total solar production,2013,"Kilowatt-hours, million",2.419,
17,American Samoa,Electricity - total solar production,Electricity,total solar production,2012,"Kilowatt-hours, million",1.409,
18,American Samoa,Electricity - total solar production,Electricity,total solar production,2011,"Kilowatt-hours, million",0.0,
19,Andorra,Electricity - total solar production,Electricity,total solar production,2020,"Kilowatt-hours, million",2.0,1
20,Andorra,Electricity - total solar production,Electricity,total solar production,2019,"Kilowatt-hours, million",1.6,
21,Andorra,Electricity - total solar production,Electricity,total solar production,2018,"Kilowatt-hours, million",0.9,
22,Andorra,Electricity - total solar production,Electricity,total solar production,2017,"Kilowatt-hours, million",0.7,
23,Andorra,Electricity - total solar production,Electricity,total solar production,2016,"Kilowatt-hours, million",0.3,
24,Andorra,Electricity - total solar production,Electricity,total solar production,2015,"Kilowatt-hours, million",0.2,
25,Andorra,Electricity - total solar production,Electricity,total solar production,2014,"Kilowatt-hours, million",0.2,
26,Angola,Electricity - total solar production,Electricity,total solar production,2019,"Kilowatt-hours, million",18.0,
27,Angola,Electricity - total solar production,Electricity,total solar production,2018,"Kilowatt-hours, million",18.0,
28,Angola,Electricity - total solar production,Electricity,total solar production,2017,"Kilowatt-hours, million",18.0,
29,Angola,Electricity - total solar production,Electricity,total solar production,2016,"Kilowatt-hours, million",18.0,
30,Angola,Electricity - total solar production,Electricity,total solar production,2015,"Kilowatt-hours, million",18.0,
31,Angola,Electricity - total solar production,Electricity,total solar production,2014,"Kilowatt-hours, million",17.0,
32,Angola,Electricity - total solar production,Electricity,total solar production,2013,"Kilowatt-hours, million",15.0,
33,Angola,Electricity - total solar production,Electricity,total solar production,2012,"Kilowatt-hours, million",14.0,
34,Angola,Electricity - total solar production,Electricity,total solar production,2011,"Kilowatt-hours, million",11.0,
35,Angola,Electricity - total solar production,Electricity,total solar production,2010,"Kilowatt-hours, million",10.0,
36,Angola,Electricity - total solar production,Electricity,total solar production,2009,"Kilowatt-hours, million",8.0,
