,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2020,"Metric tons,  thousand",0.135,
1,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2019,"Metric tons,  thousand",0.05,
2,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2018,"Metric tons,  thousand",0.667,
3,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2017,"Metric tons,  thousand",0.823,
4,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2016,"Metric tons,  thousand",1.0,
5,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2015,"Metric tons,  thousand",1.0,
6,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2014,"Metric tons,  thousand",1.0,
7,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2013,"Metric tons,  thousand",0.0,
8,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2012,"Metric tons,  thousand",0.0,
9,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2011,"Metric tons,  thousand",3.0,
10,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2010,"Metric tons,  thousand",15.0,
11,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2009,"Metric tons,  thousand",31.0,
12,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2008,"Metric tons,  thousand",28.0,
13,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2007,"Metric tons,  thousand",56.0,
14,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2006,"Metric tons,  thousand",50.0,
15,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2005,"Metric tons,  thousand",39.0,
16,Austria,Other liquid biofuels - Production,Other liquid biofuels,Production,2004,"Metric tons,  thousand",17.0,
17,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2019,"Metric tons,  thousand",0.05,
18,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2018,"Metric tons,  thousand",0.667,
19,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2017,"Metric tons,  thousand",0.823,
20,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2016,"Metric tons,  thousand",1.0,
21,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2015,"Metric tons,  thousand",1.0,
22,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2014,"Metric tons,  thousand",1.0,
23,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2013,"Metric tons,  thousand",0.0,
24,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2012,"Metric tons,  thousand",0.0,
25,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2011,"Metric tons,  thousand",2.0,
26,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2010,"Metric tons,  thousand",16.0,
27,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2009,"Metric tons,  thousand",32.0,
28,Austria,Other liquid biofuels - Transformation,Other liquid biofuels,Transformation,2008,"Metric tons,  thousand",28.0,
