,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Albania,Anthracite - imports,Anthracite,imports,2020,"Metric tons,  thousand",137.43,
1,Albania,Anthracite - imports,Anthracite,imports,2019,"Metric tons,  thousand",116.19,
2,Albania,Anthracite - imports,Anthracite,imports,2018,"Metric tons,  thousand",128.85,
3,Albania,Anthracite - imports,Anthracite,imports,2017,"Metric tons,  thousand",107.18,
4,Albania,Anthracite - imports,Anthracite,imports,2016,"Metric tons,  thousand",80.96,
5,Albania,Anthracite - imports,Anthracite,imports,2015,"Metric tons,  thousand",102.42,
6,Albania,Anthracite - imports,Anthracite,imports,2014,"Metric tons,  thousand",133.0,
7,Albania,Anthracite - imports,Anthracite,imports,2013,"Metric tons,  thousand",102.0,
8,Albania,Anthracite - exports,Anthracite,exports,2018,"Metric tons,  thousand",2.15,
9,Albania,Anthracite - exports,Anthracite,exports,2017,"Metric tons,  thousand",29.95,
10,Albania,Anthracite - exports,Anthracite,exports,2015,"Metric tons,  thousand",0.07,
11,Albania,Anthracite - exports,Anthracite,exports,2014,"Metric tons,  thousand",0.37,
12,Albania,Anthracite - final energy consumption,Anthracite,final energy consumption,2020,"Metric tons,  thousand",137.43,
13,Albania,Anthracite - final energy consumption,Anthracite,final energy consumption,2019,"Metric tons,  thousand",102.14,
14,Albania,Anthracite - final energy consumption,Anthracite,final energy consumption,2018,"Metric tons,  thousand",126.7,
15,Albania,Anthracite - final energy consumption,Anthracite,final energy consumption,2017,"Metric tons,  thousand",82.53,
16,Albania,Anthracite - final energy consumption,Anthracite,final energy consumption,2016,"Metric tons,  thousand",86.98,
17,Albania,Anthracite - final energy consumption,Anthracite,final energy consumption,2015,"Metric tons,  thousand",109.8,
18,Albania,Anthracite - final energy consumption,Anthracite,final energy consumption,2014,"Metric tons,  thousand",133.35,
19,Albania,Anthracite - final energy consumption,Anthracite,final energy consumption,2013,"Metric tons,  thousand",102.0,
20,Albania,"Anthracite - consumption by manufacturing, construction and non-fuel industry",Anthracite,"consumption by manufacturing, construction and non-fuel industry",2020,"Metric tons,  thousand",133.64,
21,Albania,"Anthracite - consumption by manufacturing, construction and non-fuel industry",Anthracite,"consumption by manufacturing, construction and non-fuel industry",2019,"Metric tons,  thousand",96.84,
22,Albania,"Anthracite - consumption by manufacturing, construction and non-fuel industry",Anthracite,"consumption by manufacturing, construction and non-fuel industry",2018,"Metric tons,  thousand",121.4,
23,Albania,"Anthracite - consumption by manufacturing, construction and non-fuel industry",Anthracite,"consumption by manufacturing, construction and non-fuel industry",2017,"Metric tons,  thousand",77.23,
24,Albania,"Anthracite - consumption by manufacturing, construction and non-fuel industry",Anthracite,"consumption by manufacturing, construction and non-fuel industry",2016,"Metric tons,  thousand",80.96,
25,Albania,"Anthracite - consumption by manufacturing, construction and non-fuel industry",Anthracite,"consumption by manufacturing, construction and non-fuel industry",2015,"Metric tons,  thousand",102.35,
26,Albania,"Anthracite - consumption by manufacturing, construction and non-fuel industry",Anthracite,"consumption by manufacturing, construction and non-fuel industry",2014,"Metric tons,  thousand",125.18,
27,Albania,"Anthracite - consumption by manufacturing, construction and non-fuel industry",Anthracite,"consumption by manufacturing, construction and non-fuel industry",2013,"Metric tons,  thousand",97.0,
28,Albania,"Anthracite - consumption by other manuf., const. and non-fuel ind.",Anthracite,"consumption by other manuf., const. and non-fuel ind.",2020,"Metric tons,  thousand",133.64,
29,Albania,"Anthracite - consumption by other manuf., const. and non-fuel ind.",Anthracite,"consumption by other manuf., const. and non-fuel ind.",2019,"Metric tons,  thousand",96.84,
30,Albania,"Anthracite - consumption by other manuf., const. and non-fuel ind.",Anthracite,"consumption by other manuf., const. and non-fuel ind.",2018,"Metric tons,  thousand",121.4,
31,Albania,"Anthracite - consumption by other manuf., const. and non-fuel ind.",Anthracite,"consumption by other manuf., const. and non-fuel ind.",2017,"Metric tons,  thousand",77.23,
32,Albania,"Anthracite - consumption by other manuf., const. and non-fuel ind.",Anthracite,"consumption by other manuf., const. and non-fuel ind.",2016,"Metric tons,  thousand",80.96,
33,Albania,"Anthracite - consumption by other manuf., const. and non-fuel ind.",Anthracite,"consumption by other manuf., const. and non-fuel ind.",2015,"Metric tons,  thousand",102.35,
34,Albania,"Anthracite - consumption by other manuf., const. and non-fuel ind.",Anthracite,"consumption by other manuf., const. and non-fuel ind.",2014,"Metric tons,  thousand",125.18,
35,Albania,"Anthracite - consumption by other manuf., const. and non-fuel ind.",Anthracite,"consumption by other manuf., const. and non-fuel ind.",2013,"Metric tons,  thousand",97.0,
36,Albania,Anthracite - consumption by non-metallic minerals,Anthracite,consumption by non-metallic minerals,2020,"Metric tons,  thousand",125.75,
37,Albania,Anthracite - consumption by non-metallic minerals,Anthracite,consumption by non-metallic minerals,2019,"Metric tons,  thousand",96.84,
38,Albania,Anthracite - consumption by non-metallic minerals,Anthracite,consumption by non-metallic minerals,2018,"Metric tons,  thousand",121.4,
39,Albania,Anthracite - consumption by non-metallic minerals,Anthracite,consumption by non-metallic minerals,2017,"Metric tons,  thousand",77.23,
40,Albania,Anthracite - consumption by non-metallic minerals,Anthracite,consumption by non-metallic minerals,2016,"Metric tons,  thousand",80.96,
