,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Afghanistan,Paraffin waxes - Imports,Paraffin waxes,Imports,2020,"Metric tons,  thousand",3.5,
1,Afghanistan,Paraffin waxes - Imports,Paraffin waxes,Imports,2019,"Metric tons,  thousand",4.7,
2,Afghanistan,Paraffin waxes - Imports,Paraffin waxes,Imports,2018,"Metric tons,  thousand",2.3,
3,Afghanistan,Paraffin waxes - Final energy consumption,Paraffin waxes,Final energy consumption,2020,"Metric tons,  thousand",3.5,1
4,Afghanistan,Paraffin waxes - Final energy consumption,Paraffin waxes,Final energy consumption,2019,"Metric tons,  thousand",4.7,1
5,Afghanistan,Paraffin waxes - Final energy consumption,Paraffin waxes,Final energy consumption,2018,"Metric tons,  thousand",2.3,1
6,Afghanistan,Paraffin waxes - Consumption by other,Paraffin waxes,Consumption by other,2020,"Metric tons,  thousand",3.5,1
7,Afghanistan,Paraffin waxes - Consumption by other,Paraffin waxes,Consumption by other,2019,"Metric tons,  thousand",4.7,1
8,Afghanistan,Paraffin waxes - Consumption by other,Paraffin waxes,Consumption by other,2018,"Metric tons,  thousand",2.3,1
9,Afghanistan,Paraffin waxes - Consumption by other consumers,Paraffin waxes,Consumption by other consumers,2020,"Metric tons,  thousand",3.5,1
10,Afghanistan,Paraffin waxes - Consumption by other consumers,Paraffin waxes,Consumption by other consumers,2019,"Metric tons,  thousand",4.7,1
11,Afghanistan,Paraffin waxes - Consumption by other consumers,Paraffin waxes,Consumption by other consumers,2018,"Metric tons,  thousand",2.3,1
12,Afghanistan,Paraffin waxes - Total energy supply,Paraffin waxes,Total energy supply,2020,"Metric tons,  thousand",3.5,
13,Afghanistan,Paraffin waxes - Total energy supply,Paraffin waxes,Total energy supply,2019,"Metric tons,  thousand",4.7,
14,Afghanistan,Paraffin waxes - Total energy supply,Paraffin waxes,Total energy supply,2018,"Metric tons,  thousand",2.3,
15,Afghanistan,Paraffin waxes - Final consumption,Paraffin waxes,Final consumption,2020,"Metric tons,  thousand",3.5,1
16,Afghanistan,Paraffin waxes - Final consumption,Paraffin waxes,Final consumption,2019,"Metric tons,  thousand",4.7,1
17,Afghanistan,Paraffin waxes - Final consumption,Paraffin waxes,Final consumption,2018,"Metric tons,  thousand",2.3,1
18,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2020,"Metric tons,  thousand",8.105,
19,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2019,"Metric tons,  thousand",8.0,
20,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2018,"Metric tons,  thousand",7.0,
21,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2017,"Metric tons,  thousand",8.0,
22,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2016,"Metric tons,  thousand",9.0,
23,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2015,"Metric tons,  thousand",11.0,
24,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2014,"Metric tons,  thousand",10.0,
25,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2013,"Metric tons,  thousand",10.0,
26,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2012,"Metric tons,  thousand",11.0,
27,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2011,"Metric tons,  thousand",12.0,
28,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2010,"Metric tons,  thousand",12.0,
29,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2009,"Metric tons,  thousand",1.0,
30,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2008,"Metric tons,  thousand",15.0,
31,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2007,"Metric tons,  thousand",2.0,
32,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2006,"Metric tons,  thousand",2.0,
33,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2005,"Metric tons,  thousand",1.0,
34,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2004,"Metric tons,  thousand",2.0,
35,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2003,"Metric tons,  thousand",2.0,
36,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2002,"Metric tons,  thousand",1.0,
37,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2001,"Metric tons,  thousand",1.0,
38,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,2000,"Metric tons,  thousand",1.0,
39,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1999,"Metric tons,  thousand",2.0,
40,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1998,"Metric tons,  thousand",2.0,
41,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1997,"Metric tons,  thousand",2.0,
42,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1996,"Metric tons,  thousand",1.0,
43,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1995,"Metric tons,  thousand",1.0,
44,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1994,"Metric tons,  thousand",20.0,
45,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1993,"Metric tons,  thousand",12.0,1
46,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1992,"Metric tons,  thousand",13.0,1
47,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1991,"Metric tons,  thousand",13.0,
48,Argentina,Paraffin waxes - Production,Paraffin waxes,Production,1990,"Metric tons,  thousand",11.0,
49,Argentina,Paraffin waxes - production from refineries,Paraffin waxes,production from refineries,2020,"Metric tons,  thousand",8.105,
