,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Albania,Lignite - Production,Lignite,Production,2014,"Metric tons,  thousand",0.0,
1,Albania,Lignite - Production,Lignite,Production,2013,"Metric tons,  thousand",3.0,
2,Albania,Lignite - Production,Lignite,Production,2012,"Metric tons,  thousand",6.63,
3,Albania,Lignite - Production,Lignite,Production,2011,"Metric tons,  thousand",6.8,
4,Albania,Lignite - Production,Lignite,Production,2010,"Metric tons,  thousand",13.6,
5,Albania,Lignite - Production,Lignite,Production,2009,"Metric tons,  thousand",13.6,
6,Albania,Lignite - Production,Lignite,Production,2008,"Metric tons,  thousand",85.0,
7,Albania,Lignite - Final energy consumption,Lignite,Final energy consumption,2014,"Metric tons,  thousand",0.0,
8,Albania,Lignite - Final energy consumption,Lignite,Final energy consumption,2013,"Metric tons,  thousand",3.0,
9,Albania,Lignite - Final energy consumption,Lignite,Final energy consumption,2012,"Metric tons,  thousand",6.63,
10,Albania,Lignite - Final energy consumption,Lignite,Final energy consumption,2011,"Metric tons,  thousand",6.8,
11,Albania,Lignite - Final energy consumption,Lignite,Final energy consumption,2010,"Metric tons,  thousand",13.6,
12,Albania,Lignite - Final energy consumption,Lignite,Final energy consumption,2009,"Metric tons,  thousand",13.6,
13,Albania,Lignite - Final energy consumption,Lignite,Final energy consumption,2008,"Metric tons,  thousand",85.0,
14,Albania,"Lignite - Consumption by manufacturing, construction and non-fuel industry",Lignite,"Consumption by manufacturing, construction and non-fuel industry",2008,"Metric tons,  thousand",38.25,
15,Albania,"Lignite - Consumption by other manuf., const. and non-fuel ind.",Lignite,"Consumption by other manuf., const. and non-fuel ind.",2008,"Metric tons,  thousand",38.25,
16,Albania,Lignite - Consumption by other,Lignite,Consumption by other,2014,"Metric tons,  thousand",0.0,
17,Albania,Lignite - Consumption by other,Lignite,Consumption by other,2013,"Metric tons,  thousand",3.0,
18,Albania,Lignite - Consumption by other,Lignite,Consumption by other,2012,"Metric tons,  thousand",6.63,
19,Albania,Lignite - Consumption by other,Lignite,Consumption by other,2011,"Metric tons,  thousand",6.8,
20,Albania,Lignite - Consumption by other,Lignite,Consumption by other,2010,"Metric tons,  thousand",13.6,
21,Albania,Lignite - Consumption by other,Lignite,Consumption by other,2009,"Metric tons,  thousand",13.6,
22,Albania,Lignite - Consumption by other,Lignite,Consumption by other,2008,"Metric tons,  thousand",46.75,
23,Albania,Lignite - Consumption by households,Lignite,Consumption by households,2014,"Metric tons,  thousand",0.0,
24,Albania,Lignite - Consumption by households,Lignite,Consumption by households,2013,"Metric tons,  thousand",1.0,
25,Albania,Lignite - Consumption by households,Lignite,Consumption by households,2012,"Metric tons,  thousand",2.125,
26,Albania,Lignite - Consumption by households,Lignite,Consumption by households,2011,"Metric tons,  thousand",3.825,
27,Albania,Lignite - Consumption by households,Lignite,Consumption by households,2010,"Metric tons,  thousand",3.825,
28,Albania,Lignite - Consumption by households,Lignite,Consumption by households,2009,"Metric tons,  thousand",3.825,
29,Albania,Lignite - Consumption by commerce and public services,Lignite,Consumption by commerce and public services,2014,"Metric tons,  thousand",0.0,
30,Albania,Lignite - Consumption by commerce and public services,Lignite,Consumption by commerce and public services,2013,"Metric tons,  thousand",2.0,
31,Albania,Lignite - Consumption by commerce and public services,Lignite,Consumption by commerce and public services,2012,"Metric tons,  thousand",4.505,
32,Albania,Lignite - Consumption by commerce and public services,Lignite,Consumption by commerce and public services,2011,"Metric tons,  thousand",2.975,
33,Albania,Lignite - Consumption by commerce and public services,Lignite,Consumption by commerce and public services,2010,"Metric tons,  thousand",9.775,
34,Albania,Lignite - Consumption by commerce and public services,Lignite,Consumption by commerce and public services,2009,"Metric tons,  thousand",9.775,
35,Albania,Lignite - Consumption by commerce and public services,Lignite,Consumption by commerce and public services,2008,"Metric tons,  thousand",46.75,
36,Albania,Lignite - Total energy supply,Lignite,Total energy supply,2014,"Metric tons,  thousand",0.0,
37,Albania,Lignite - Total energy supply,Lignite,Total energy supply,2013,"Metric tons,  thousand",3.0,
38,Albania,Lignite - Total energy supply,Lignite,Total energy supply,2012,"Metric tons,  thousand",6.63,
39,Albania,Lignite - Total energy supply,Lignite,Total energy supply,2011,"Metric tons,  thousand",6.8,
40,Albania,Lignite - Total energy supply,Lignite,Total energy supply,2010,"Metric tons,  thousand",13.6,
41,Albania,Lignite - Total energy supply,Lignite,Total energy supply,2009,"Metric tons,  thousand",13.6,
42,Albania,Lignite - Total energy supply,Lignite,Total energy supply,2008,"Metric tons,  thousand",85.0,
43,Albania,Lignite - Final consumption,Lignite,Final consumption,2014,"Metric tons,  thousand",0.0,
44,Albania,Lignite - Final consumption,Lignite,Final consumption,2013,"Metric tons,  thousand",3.0,
45,Albania,Lignite - Final consumption,Lignite,Final consumption,2012,"Metric tons,  thousand",6.63,
46,Albania,Lignite - Final consumption,Lignite,Final consumption,2011,"Metric tons,  thousand",6.8,
47,Albania,Lignite - Final consumption,Lignite,Final consumption,2010,"Metric tons,  thousand",13.6,
48,Albania,Lignite - Final consumption,Lignite,Final consumption,2009,"Metric tons,  thousand",13.6,
49,Albania,Lignite - Final consumption,Lignite,Final consumption,2008,"Metric tons,  thousand",85.0,
50,Armenia,Lignite - Imports,Lignite,Imports,2019,"Metric tons,  thousand",0.06,
51,Armenia,Lignite - Imports,Lignite,Imports,2018,"Metric tons,  thousand",0.06,
52,Armenia,Lignite - Imports,Lignite,Imports,2017,"Metric tons,  thousand",0.06,
53,Armenia,Lignite - Imports,Lignite,Imports,2016,"Metric tons,  thousand",0.06,
54,Armenia,Lignite - Imports,Lignite,Imports,2015,"Metric tons,  thousand",0.06,
55,Armenia,Lignite - Final energy consumption,Lignite,Final energy consumption,2019,"Metric tons,  thousand",0.06,
56,Armenia,Lignite - Final energy consumption,Lignite,Final energy consumption,2018,"Metric tons,  thousand",0.06,
57,Armenia,Lignite - Final energy consumption,Lignite,Final energy consumption,2017,"Metric tons,  thousand",0.06,
58,Armenia,Lignite - Final energy consumption,Lignite,Final energy consumption,2016,"Metric tons,  thousand",0.06,
59,Armenia,Lignite - Final energy consumption,Lignite,Final energy consumption,2015,"Metric tons,  thousand",0.06,
60,Armenia,Lignite - Consumption by other,Lignite,Consumption by other,2019,"Metric tons,  thousand",0.06,
61,Armenia,Lignite - Consumption by other,Lignite,Consumption by other,2018,"Metric tons,  thousand",0.06,
62,Armenia,Lignite - Consumption by other,Lignite,Consumption by other,2017,"Metric tons,  thousand",0.06,
63,Armenia,Lignite - Consumption by other,Lignite,Consumption by other,2016,"Metric tons,  thousand",0.06,
64,Armenia,Lignite - Consumption by other,Lignite,Consumption by other,2015,"Metric tons,  thousand",0.06,
65,Armenia,Lignite - Consumption by households,Lignite,Consumption by households,2019,"Metric tons,  thousand",0.06,
66,Armenia,Lignite - Consumption by households,Lignite,Consumption by households,2018,"Metric tons,  thousand",0.06,
67,Armenia,Lignite - Consumption by households,Lignite,Consumption by households,2017,"Metric tons,  thousand",0.06,
68,Armenia,Lignite - Consumption by households,Lignite,Consumption by households,2016,"Metric tons,  thousand",0.06,
69,Armenia,Lignite - Consumption by households,Lignite,Consumption by households,2015,"Metric tons,  thousand",0.06,
70,Armenia,Lignite - Total energy supply,Lignite,Total energy supply,2019,"Metric tons,  thousand",0.06,
71,Armenia,Lignite - Total energy supply,Lignite,Total energy supply,2018,"Metric tons,  thousand",0.06,
72,Armenia,Lignite - Total energy supply,Lignite,Total energy supply,2017,"Metric tons,  thousand",0.06,
73,Armenia,Lignite - Total energy supply,Lignite,Total energy supply,2016,"Metric tons,  thousand",0.06,
