,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Angola,Vegetal waste - Production,Vegetal waste,Production,2019,Terajoules,106421.264,
1,Angola,Vegetal waste - Production,Vegetal waste,Production,2018,Terajoules,105044.4,
2,Angola,Vegetal waste - Production,Vegetal waste,Production,2017,Terajoules,103650.4,
3,Angola,Vegetal waste - Production,Vegetal waste,Production,2016,Terajoules,102127.0,
4,Angola,Vegetal waste - Production,Vegetal waste,Production,2015,Terajoules,100681.0,
5,Angola,Vegetal waste - Production,Vegetal waste,Production,2014,Terajoules,99191.0,
6,Angola,Vegetal waste - Production,Vegetal waste,Production,2013,Terajoules,97667.0,
7,Angola,Vegetal waste - Production,Vegetal waste,Production,2012,Terajoules,96099.0,
8,Angola,Vegetal waste - Production,Vegetal waste,Production,2011,Terajoules,94510.0,
9,Angola,Vegetal waste - Production,Vegetal waste,Production,2010,Terajoules,92916.0,
10,Angola,Vegetal waste - Production,Vegetal waste,Production,2009,Terajoules,91327.0,
11,Angola,Vegetal waste - Production,Vegetal waste,Production,2008,Terajoules,89745.0,
12,Angola,Vegetal waste - Production,Vegetal waste,Production,2007,Terajoules,88177.0,
13,Angola,Vegetal waste - Production,Vegetal waste,Production,2006,Terajoules,86612.0,
14,Angola,Vegetal waste - Production,Vegetal waste,Production,2005,Terajoules,85055.0,
15,Angola,Vegetal waste - Production,Vegetal waste,Production,2004,Terajoules,84255.0,
16,Angola,Vegetal waste - Production,Vegetal waste,Production,2003,Terajoules,83424.0,
17,Angola,Vegetal waste - Production,Vegetal waste,Production,2002,Terajoules,82590.0,
18,Angola,Vegetal waste - Production,Vegetal waste,Production,2001,Terajoules,81813.0,
19,Angola,Vegetal waste - Production,Vegetal waste,Production,2000,Terajoules,81130.0,
20,Angola,Vegetal waste - Production,Vegetal waste,Production,1999,Terajoules,80583.0,
21,Angola,Vegetal waste - Production,Vegetal waste,Production,1998,Terajoules,80152.0,
22,Angola,Vegetal waste - Production,Vegetal waste,Production,1997,Terajoules,79773.0,
23,Angola,Vegetal waste - Production,Vegetal waste,Production,1996,Terajoules,79334.0,
