,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Armenia,Coal Tar - Imports,Coal Tar,Imports,2020,"Metric tons,  thousand",0.00047,
1,Armenia,Coal Tar - Total energy supply,Coal Tar,Total energy supply,2020,"Metric tons,  thousand",0.00047,
2,Australia,Coal Tar - Production,Coal Tar,Production,2020,"Metric tons,  thousand",154.0,
3,Australia,Coal Tar - Production,Coal Tar,Production,2019,"Metric tons,  thousand",148.0,
4,Australia,Coal Tar - Production,Coal Tar,Production,2018,"Metric tons,  thousand",161.0,
5,Australia,Coal Tar - Production,Coal Tar,Production,2017,"Metric tons,  thousand",167.0,
6,Australia,Coal Tar - Production,Coal Tar,Production,2016,"Metric tons,  thousand",164.0,
7,Australia,Coal Tar - Production,Coal Tar,Production,2015,"Metric tons,  thousand",42.0,
8,Australia,Coal Tar - Production,Coal Tar,Production,2014,"Metric tons,  thousand",40.0,
9,Australia,Coal Tar - Production,Coal Tar,Production,2013,"Metric tons,  thousand",39.0,
10,Australia,Coal Tar - Production,Coal Tar,Production,2012,"Metric tons,  thousand",39.0,
11,Australia,Coal Tar - Production,Coal Tar,Production,2011,"Metric tons,  thousand",37.0,
12,Australia,Coal Tar - Production,Coal Tar,Production,2010,"Metric tons,  thousand",39.0,
13,Australia,Coal Tar - Production,Coal Tar,Production,2009,"Metric tons,  thousand",108.0,
14,Australia,Coal Tar - Production,Coal Tar,Production,2008,"Metric tons,  thousand",167.0,
15,Australia,Coal Tar - Production,Coal Tar,Production,2007,"Metric tons,  thousand",169.0,
16,Australia,Coal Tar - Production,Coal Tar,Production,2006,"Metric tons,  thousand",170.0,
17,Australia,Coal Tar - Production,Coal Tar,Production,2005,"Metric tons,  thousand",170.0,
18,Australia,Coal Tar - Production,Coal Tar,Production,2004,"Metric tons,  thousand",221.0,
19,Australia,Coal Tar - Production,Coal Tar,Production,2003,"Metric tons,  thousand",380.0,
20,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2017,"Metric tons,  thousand",1.0,
