,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Afghanistan,Bitumen - Production,Bitumen,Production,2020,"Metric tons,  thousand",5.0,1
1,Afghanistan,Bitumen - Production,Bitumen,Production,2019,"Metric tons,  thousand",12.0,1
2,Afghanistan,Bitumen - Production,Bitumen,Production,2018,"Metric tons,  thousand",20.0,1
3,Afghanistan,Bitumen - Production,Bitumen,Production,2017,"Metric tons,  thousand",12.0,1
4,Afghanistan,Bitumen - Production,Bitumen,Production,2016,"Metric tons,  thousand",10.0,1
5,Afghanistan,Bitumen - Production,Bitumen,Production,2015,"Metric tons,  thousand",10.0,1
6,Afghanistan,Bitumen - Production,Bitumen,Production,2014,"Metric tons,  thousand",10.0,1
7,Afghanistan,Bitumen - Production,Bitumen,Production,2013,"Metric tons,  thousand",9.0,1
8,Afghanistan,Bitumen - Production,Bitumen,Production,2012,"Metric tons,  thousand",8.0,1
9,Afghanistan,Bitumen - Production,Bitumen,Production,2011,"Metric tons,  thousand",5.0,1
10,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2020,"Metric tons,  thousand",5.0,1
11,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2019,"Metric tons,  thousand",12.0,1
12,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2018,"Metric tons,  thousand",20.0,1
13,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2017,"Metric tons,  thousand",12.0,1
14,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2016,"Metric tons,  thousand",10.0,1
15,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2015,"Metric tons,  thousand",10.0,1
16,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2014,"Metric tons,  thousand",10.0,1
17,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2013,"Metric tons,  thousand",9.0,1
18,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2012,"Metric tons,  thousand",8.0,1
19,Afghanistan,Bitumen - production from refineries,Bitumen,production from refineries,2011,"Metric tons,  thousand",5.0,1
20,Afghanistan,Bitumen - Imports,Bitumen,Imports,2020,"Metric tons,  thousand",65.5,
21,Afghanistan,Bitumen - Imports,Bitumen,Imports,2019,"Metric tons,  thousand",67.6,
22,Afghanistan,Bitumen - Imports,Bitumen,Imports,2018,"Metric tons,  thousand",54.1,
23,Afghanistan,Bitumen - Imports,Bitumen,Imports,2017,"Metric tons,  thousand",40.3,
24,Afghanistan,Bitumen - Imports,Bitumen,Imports,2016,"Metric tons,  thousand",24.0,
25,Afghanistan,Bitumen - Imports,Bitumen,Imports,2015,"Metric tons,  thousand",42.3,
26,Afghanistan,Bitumen - Imports,Bitumen,Imports,2014,"Metric tons,  thousand",76.3,
27,Afghanistan,Bitumen - Imports,Bitumen,Imports,2013,"Metric tons,  thousand",192.0,
28,Afghanistan,Bitumen - Imports,Bitumen,Imports,2012,"Metric tons,  thousand",47.4,
29,Afghanistan,Bitumen - Imports,Bitumen,Imports,2011,"Metric tons,  thousand",66.8,
30,Afghanistan,Bitumen - Imports,Bitumen,Imports,2010,"Metric tons,  thousand",78.2,
