,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2019,"Metric tons,  thousand",3.0,1
1,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2018,"Metric tons,  thousand",3.0,1
2,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2017,"Metric tons,  thousand",3.0,1
3,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2016,"Metric tons,  thousand",3.0,1
4,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2015,"Metric tons,  thousand",3.0,1
5,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2014,"Metric tons,  thousand",3.0,1
6,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2013,"Metric tons,  thousand",3.0,1
7,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2012,"Metric tons,  thousand",3.0,
8,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2011,"Metric tons,  thousand",3.0,
9,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2010,"Metric tons,  thousand",3.0,
10,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2009,"Metric tons,  thousand",3.0,
11,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2008,"Metric tons,  thousand",3.0,
12,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2007,"Metric tons,  thousand",4.0,1
13,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2006,"Metric tons,  thousand",4.0,1
14,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2005,"Metric tons,  thousand",4.0,1
15,Afghanistan,White spirit and special boiling point industrial spirits - Imports,White spirit and special boiling point industrial spirits,Imports,2004,"Metric tons,  thousand",5.0,1
