,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Algeria,Uranium - reasonably assured reserves,Uranium,reasonably assured reserves,2011,Metric Tons,19500.0,
1,Argentina,Uranium - production,Uranium,production,2004,Metric Tons,1.0,
2,Argentina,Uranium - production,Uranium,production,1998,Metric Tons,7.0,
3,Argentina,Uranium - production,Uranium,production,1997,Metric Tons,30.0,
4,Argentina,Uranium - production,Uranium,production,1996,Metric Tons,16.0,
5,Argentina,Uranium - production,Uranium,production,1995,Metric Tons,65.0,
6,Argentina,Uranium - production,Uranium,production,1994,Metric Tons,79.0,
7,Argentina,Uranium - production,Uranium,production,1993,Metric Tons,126.0,
8,Argentina,Uranium - production,Uranium,production,1992,Metric Tons,123.0,
9,Argentina,Uranium - production,Uranium,production,1991,Metric Tons,18.0,
10,Argentina,Uranium - production,Uranium,production,1990,Metric Tons,9.0,
11,Argentina,Uranium - reasonably assured reserves,Uranium,reasonably assured reserves,2011,Metric Tons,8600.0,
12,Argentina,Uranium - estimated additional reserves,Uranium,estimated additional reserves,2011,Metric Tons,11000.0,
13,Australia,Uranium - production,Uranium,production,2020,Metric Tons,6203.0,
14,Australia,Uranium - production,Uranium,production,2019,Metric Tons,6613.0,
15,Australia,Uranium - production,Uranium,production,2018,Metric Tons,6517.0,
16,Australia,Uranium - production,Uranium,production,2017,Metric Tons,5882.0,
17,Australia,Uranium - production,Uranium,production,2016,Metric Tons,6315.0,
18,Australia,Uranium - production,Uranium,production,2015,Metric Tons,5654.0,
19,Australia,Uranium - production,Uranium,production,2014,Metric Tons,5001.0,
20,Australia,Uranium - production,Uranium,production,2013,Metric Tons,6350.0,
21,Australia,Uranium - production,Uranium,production,2012,Metric Tons,7009.0,
22,Australia,Uranium - production,Uranium,production,2011,Metric Tons,5967.0,
23,Australia,Uranium - production,Uranium,production,2010,Metric Tons,5900.0,
24,Australia,Uranium - production,Uranium,production,2009,Metric Tons,7934.0,
25,Australia,Uranium - production,Uranium,production,2008,Metric Tons,8433.0,
26,Australia,Uranium - production,Uranium,production,2007,Metric Tons,8602.0,
27,Australia,Uranium - production,Uranium,production,2006,Metric Tons,7593.0,
28,Australia,Uranium - production,Uranium,production,2005,Metric Tons,9512.0,
29,Australia,Uranium - production,Uranium,production,2004,Metric Tons,8982.0,
30,Australia,Uranium - production,Uranium,production,2003,Metric Tons,7573.0,
31,Australia,Uranium - production,Uranium,production,2002,Metric Tons,6854.0,
32,Australia,Uranium - production,Uranium,production,2001,Metric Tons,7720.0,
33,Australia,Uranium - production,Uranium,production,2000,Metric Tons,7579.0,
34,Australia,Uranium - production,Uranium,production,1999,Metric Tons,5984.0,
35,Australia,Uranium - production,Uranium,production,1998,Metric Tons,4894.0,
36,Australia,Uranium - production,Uranium,production,1997,Metric Tons,5488.0,
37,Australia,Uranium - production,Uranium,production,1996,Metric Tons,4975.0,
38,Australia,Uranium - production,Uranium,production,1995,Metric Tons,3712.0,
39,Australia,Uranium - production,Uranium,production,1994,Metric Tons,2208.0,
40,Australia,Uranium - production,Uranium,production,1993,Metric Tons,2256.0,
