,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2020,"Metric tons,  thousand",50.9,1
1,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2019,"Metric tons,  thousand",118.8,1
2,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2018,"Metric tons,  thousand",184.8,1
3,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2017,"Metric tons,  thousand",116.8,1
4,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2016,"Metric tons,  thousand",110.0,1
5,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2015,"Metric tons,  thousand",110.0,1
6,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2014,"Metric tons,  thousand",100.0,1
7,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2013,"Metric tons,  thousand",90.0,1
8,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2012,"Metric tons,  thousand",80.0,1
9,Afghanistan,Total refinery throughput,Total refinery throughput,Total refinery throughput,2011,"Metric tons,  thousand",50.0,1
10,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2020,"Metric tons,  thousand",46.0,1
11,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2019,"Metric tons,  thousand",112.0,1
12,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2018,"Metric tons,  thousand",176.0,1
13,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2017,"Metric tons,  thousand",112.0,1
14,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2016,"Metric tons,  thousand",106.0,1
15,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2015,"Metric tons,  thousand",106.0,1
16,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2014,"Metric tons,  thousand",96.0,1
17,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2013,"Metric tons,  thousand",86.0,1
18,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2012,"Metric tons,  thousand",76.0,1
19,Afghanistan,Total refinery output,Total refinery output,Total refinery output,2011,"Metric tons,  thousand",47.0,1
20,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2020,"Metric tons,  thousand",134.37,
21,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2019,"Metric tons,  thousand",335.273,
22,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2018,"Metric tons,  thousand",298.0,
23,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2017,"Metric tons,  thousand",513.177,
24,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2016,"Metric tons,  thousand",184.0,
25,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2015,"Metric tons,  thousand",276.0,
26,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2014,"Metric tons,  thousand",361.0,
27,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2013,"Metric tons,  thousand",39.59,
28,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2012,"Metric tons,  thousand",110.65,
29,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2011,"Metric tons,  thousand",296.72,
30,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2010,"Metric tons,  thousand",157.47,
31,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2009,"Metric tons,  thousand",355.4,
32,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2008,"Metric tons,  thousand",337.7,
33,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2007,"Metric tons,  thousand",414.0,
34,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2006,"Metric tons,  thousand",446.0,
35,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2005,"Metric tons,  thousand",418.0,
36,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2004,"Metric tons,  thousand",420.0,
37,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2003,"Metric tons,  thousand",375.0,
38,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2002,"Metric tons,  thousand",393.0,
39,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2001,"Metric tons,  thousand",311.0,
40,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,2000,"Metric tons,  thousand",317.0,
41,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,1999,"Metric tons,  thousand",328.0,
42,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,1998,"Metric tons,  thousand",370.0,
43,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,1997,"Metric tons,  thousand",366.0,
44,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,1996,"Metric tons,  thousand",493.0,
45,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,1995,"Metric tons,  thousand",521.0,1
46,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,1994,"Metric tons,  thousand",413.0,1
47,Albania,Total refinery throughput,Total refinery throughput,Total refinery throughput,1993,"Metric tons,  thousand",490.0,1
