,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2020,Terajoules,492.815,
1,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2019,Terajoules,475.867,
2,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2018,Terajoules,472.765,
3,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2017,Terajoules,514.394,
4,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2016,Terajoules,300.0,
5,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2015,Terajoules,301.0,
6,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2014,Terajoules,267.0,
7,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2013,Terajoules,329.0,
8,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2012,Terajoules,346.0,
9,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2011,Terajoules,278.0,
10,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2010,Terajoules,321.0,
11,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2009,Terajoules,281.0,
12,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2008,Terajoules,254.0,
13,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2007,Terajoules,237.0,
14,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2006,Terajoules,263.0,
15,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2005,Terajoules,270.0,
16,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2004,Terajoules,240.0,
17,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2003,Terajoules,240.0,
18,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2002,Terajoules,310.0,
19,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2001,Terajoules,190.0,
20,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,2000,Terajoules,206.0,
21,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1999,Terajoules,189.0,
22,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1998,Terajoules,245.0,
23,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1997,Terajoules,183.0,
24,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1996,Terajoules,178.0,
25,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1995,Terajoules,141.0,
26,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1994,Terajoules,118.0,
27,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1993,Terajoules,117.0,
28,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1992,Terajoules,151.0,
29,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1991,Terajoules,151.0,
30,Austria,Direct use of geothermal heat - Final energy consumption,Direct use of geothermal heat,Final energy consumption,1990,Terajoules,151.0,
31,Austria,Direct use of geothermal heat - Consumption by other,Direct use of geothermal heat,Consumption by other,2020,Terajoules,492.815,
32,Austria,Direct use of geothermal heat - Consumption by other,Direct use of geothermal heat,Consumption by other,2019,Terajoules,475.867,
33,Austria,Direct use of geothermal heat - Consumption by other,Direct use of geothermal heat,Consumption by other,2018,Terajoules,472.765,
34,Austria,Direct use of geothermal heat - Consumption by other,Direct use of geothermal heat,Consumption by other,2017,Terajoules,514.394,
