,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2020,"Kilowatt-hours, million",10706.824,
1,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2019,"Kilowatt-hours, million",7927.0,
2,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2018,"Kilowatt-hours, million",6453.0,
3,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2017,"Kilowatt-hours, million",6088.0,
4,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2016,"Kilowatt-hours, million",8285.0,1
5,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2015,"Kilowatt-hours, million",7139.0,
6,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2014,"Kilowatt-hours, million",5756.0,
7,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2013,"Kilowatt-hours, million",6207.0,
8,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2012,"Kilowatt-hours, million",6395.0,
9,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2011,"Kilowatt-hours, million",6371.0,
10,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2010,"Kilowatt-hours, million",7171.0,
11,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2009,"Kilowatt-hours, million",8161.0,
12,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2008,"Kilowatt-hours, million",7330.0,
13,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2007,"Kilowatt-hours, million",7217.0,
14,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2006,"Kilowatt-hours, million",7691.0,
15,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2005,"Kilowatt-hours, million",6873.0,
16,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2004,"Kilowatt-hours, million",7869.0,
17,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2003,"Kilowatt-hours, million",7566.0,
18,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2002,"Kilowatt-hours, million",5821.0,
19,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2001,"Kilowatt-hours, million",7059.0,
20,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,2000,"Kilowatt-hours, million",6177.0,
21,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1999,"Kilowatt-hours, million",7106.0,
22,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1998,"Kilowatt-hours, million",7453.0,
23,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1997,"Kilowatt-hours, million",7961.0,
24,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1996,"Kilowatt-hours, million",7459.0,
25,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1995,"Kilowatt-hours, million",7066.0,
26,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1994,"Kilowatt-hours, million",8235.0,
27,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1993,"Kilowatt-hours, million",7750.0,
28,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1992,"Kilowatt-hours, million",7081.0,
29,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1991,"Kilowatt-hours, million",7771.0,
30,Argentina,Electricity - total nuclear production,Electricity,total nuclear production,1990,"Kilowatt-hours, million",7281.0,
31,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2019,"Kilowatt-hours, million",2197.8,
32,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2018,"Kilowatt-hours, million",2076.079,
33,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2017,"Kilowatt-hours, million",2619.6,
34,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2016,"Kilowatt-hours, million",2381.0,
35,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2015,"Kilowatt-hours, million",2788.0,
36,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2014,"Kilowatt-hours, million",2465.0,
37,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2013,"Kilowatt-hours, million",2360.0,
38,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2012,"Kilowatt-hours, million",2322.0,
39,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2011,"Kilowatt-hours, million",2548.0,
40,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2010,"Kilowatt-hours, million",2490.0,
41,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2009,"Kilowatt-hours, million",2494.0,
42,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2008,"Kilowatt-hours, million",2461.0,
43,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2007,"Kilowatt-hours, million",2553.0,
44,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2006,"Kilowatt-hours, million",2640.0,
45,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2005,"Kilowatt-hours, million",2716.0,
46,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2004,"Kilowatt-hours, million",2403.0,
47,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2003,"Kilowatt-hours, million",1998.0,
48,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2002,"Kilowatt-hours, million",2282.0,
49,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2001,"Kilowatt-hours, million",1987.0,
50,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,2000,"Kilowatt-hours, million",2005.0,
51,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,1999,"Kilowatt-hours, million",2078.0,
52,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,1998,"Kilowatt-hours, million",1589.0,
53,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,1997,"Kilowatt-hours, million",1600.0,
54,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,1996,"Kilowatt-hours, million",2324.0,
55,Armenia,Electricity - total nuclear production,Electricity,total nuclear production,1995,"Kilowatt-hours, million",304.0,
56,Belgium,Electricity - total nuclear production,Electricity,total nuclear production,2019,"Kilowatt-hours, million",43523.6,
57,Belgium,Electricity - total nuclear production,Electricity,total nuclear production,2018,"Kilowatt-hours, million",28597.0,
58,Belgium,Electricity - total nuclear production,Electricity,total nuclear production,2017,"Kilowatt-hours, million",42226.8,
59,Belgium,Electricity - total nuclear production,Electricity,total nuclear production,2016,"Kilowatt-hours, million",43523.0,
60,Belgium,Electricity - total nuclear production,Electricity,total nuclear production,2015,"Kilowatt-hours, million",26103.0,
61,Belgium,Electricity - total nuclear production,Electricity,total nuclear production,2014,"Kilowatt-hours, million",33703.0,
62,Belgium,Electricity - total nuclear production,Electricity,total nuclear production,2013,"Kilowatt-hours, million",42644.0,
63,Belgium,Electricity - total nuclear production,Electricity,total nuclear production,2012,"Kilowatt-hours, million",40295.0,
