,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
61,Bangladesh,Animal waste - Production,Animal waste,Production,2002,Terajoules,101150.0,
62,Bangladesh,Animal waste - Production,Animal waste,Production,2001,Terajoules,99470.0,
63,Bangladesh,Animal waste - Production,Animal waste,Production,2000,Terajoules,97737.0,
64,Bangladesh,Animal waste - Production,Animal waste,Production,1999,Terajoules,95953.0,
65,Bangladesh,Animal waste - Production,Animal waste,Production,1998,Terajoules,93599.0,
66,Bangladesh,Animal waste - Production,Animal waste,Production,1997,Terajoules,91680.0,
67,Bangladesh,Animal waste - Production,Animal waste,Production,1996,Terajoules,91070.0,
68,Bangladesh,Animal waste - Production,Animal waste,Production,1995,Terajoules,93047.0,
69,Bangladesh,Animal waste - Production,Animal waste,Production,1994,Terajoules,90954.0,
70,Bangladesh,Animal waste - Production,Animal waste,Production,1993,Terajoules,90518.0,
71,Bangladesh,Animal waste - Production,Animal waste,Production,1992,Terajoules,88425.0,
72,Bangladesh,Animal waste - Production,Animal waste,Production,1991,Terajoules,84355.0,
73,Bangladesh,Animal waste - Production,Animal waste,Production,1990,Terajoules,86099.0,
74,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2019,Terajoules,132688.0,
75,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2018,Terajoules,123673.0,
76,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2017,Terajoules,122456.0,
77,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2016,Terajoules,121178.0,
78,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2015,Terajoules,119987.0,
79,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2014,Terajoules,118558.0,
80,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2013,Terajoules,117126.0,
81,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2012,Terajoules,115710.0,
82,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2011,Terajoules,114330.0,
83,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2010,Terajoules,112997.0,
84,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2009,Terajoules,110376.0,
85,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2008,Terajoules,109244.0,
86,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2007,Terajoules,108127.0,
87,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2006,Terajoules,107373.0,
88,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2005,Terajoules,106041.0,
89,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2004,Terajoules,104566.0,
90,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2003,Terajoules,102968.0,
91,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2002,Terajoules,101272.0,
92,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2001,Terajoules,99521.0,
93,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2000,Terajoules,97746.0,
94,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1999,Terajoules,95953.0,1
95,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1998,Terajoules,93599.0,1
96,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1997,Terajoules,91680.0,1
97,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1996,Terajoules,91070.0,1
98,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1995,Terajoules,93047.0,1
99,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1994,Terajoules,90954.0,1
100,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1993,Terajoules,90518.0,1
101,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1992,Terajoules,88425.0,1
102,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1991,Terajoules,84355.0,1
103,Bangladesh,Animal waste - Final energy consumption,Animal waste,Final energy consumption,1990,Terajoules,86099.0,1
104,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2019,Terajoules,132688.0,
105,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2018,Terajoules,123673.0,
106,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2017,Terajoules,122456.0,
107,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2016,Terajoules,121178.0,
108,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2015,Terajoules,119987.0,
109,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2014,Terajoules,118558.0,
110,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2013,Terajoules,117126.0,
111,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2012,Terajoules,115710.0,
112,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2011,Terajoules,114330.0,
113,Bangladesh,Animal waste - Consumption by other,Animal waste,Consumption by other,2010,Terajoules,112997.0,
