,Country_or_Area,Commodity-Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Afghanistan,Charcoal - Production,Charcoal,Production,2019,"Metric tons,  thousand",144.572,
1,Afghanistan,Charcoal - Production,Charcoal,Production,2018,"Metric tons,  thousand",140.653,
2,Afghanistan,Charcoal - Production,Charcoal,Production,2017,"Metric tons,  thousand",136.841,
3,Afghanistan,Charcoal - Production,Charcoal,Production,2016,"Metric tons,  thousand",133.132,
4,Afghanistan,Charcoal - Production,Charcoal,Production,2015,"Metric tons,  thousand",129.524,
5,Afghanistan,Charcoal - Production,Charcoal,Production,2014,"Metric tons,  thousand",125.905,
6,Afghanistan,Charcoal - Production,Charcoal,Production,2013,"Metric tons,  thousand",122.388,
7,Afghanistan,Charcoal - Production,Charcoal,Production,2012,"Metric tons,  thousand",118.969,
8,Afghanistan,Charcoal - Production,Charcoal,Production,2011,"Metric tons,  thousand",115.646,
9,Afghanistan,Charcoal - Production,Charcoal,Production,2010,"Metric tons,  thousand",112.415,
10,Afghanistan,Charcoal - Production,Charcoal,Production,2009,"Metric tons,  thousand",109.057,
11,Afghanistan,Charcoal - Production,Charcoal,Production,2008,"Metric tons,  thousand",105.799,
12,Afghanistan,Charcoal - Production,Charcoal,Production,2007,"Metric tons,  thousand",102.639,
13,Afghanistan,Charcoal - Production,Charcoal,Production,2006,"Metric tons,  thousand",99.572,
14,Afghanistan,Charcoal - Production,Charcoal,Production,2005,"Metric tons,  thousand",96.598,
15,Afghanistan,Charcoal - Production,Charcoal,Production,2004,"Metric tons,  thousand",93.211,
16,Afghanistan,Charcoal - Production,Charcoal,Production,2003,"Metric tons,  thousand",89.943,
17,Afghanistan,Charcoal - Production,Charcoal,Production,2002,"Metric tons,  thousand",86.79,
18,Afghanistan,Charcoal - Production,Charcoal,Production,2001,"Metric tons,  thousand",83.747,
19,Afghanistan,Charcoal - Production,Charcoal,Production,2000,"Metric tons,  thousand",80.811,
20,Afghanistan,Charcoal - Production,Charcoal,Production,1999,"Metric tons,  thousand",75.735,
21,Afghanistan,Charcoal - Production,Charcoal,Production,1998,"Metric tons,  thousand",70.999,
22,Afghanistan,Charcoal - Production,Charcoal,Production,1997,"Metric tons,  thousand",67.216,
23,Afghanistan,Charcoal - Production,Charcoal,Production,1996,"Metric tons,  thousand",61.923,
24,Afghanistan,Charcoal - Production,Charcoal,Production,1995,"Metric tons,  thousand",56.851,
25,Afghanistan,Charcoal - Production,Charcoal,Production,1994,"Metric tons,  thousand",52.072,
26,Afghanistan,Charcoal - Production,Charcoal,Production,1993,"Metric tons,  thousand",47.594,
27,Afghanistan,Charcoal - Production,Charcoal,Production,1992,"Metric tons,  thousand",43.611,
28,Afghanistan,Charcoal - Production,Charcoal,Production,1991,"Metric tons,  thousand",40.347,
29,Afghanistan,Charcoal - Production,Charcoal,Production,1990,"Metric tons,  thousand",38.994,
30,Afghanistan,Charcoal - Imports,Charcoal,Imports,2019,"Metric tons,  thousand",0.015,
31,Afghanistan,Charcoal - Imports,Charcoal,Imports,2018,"Metric tons,  thousand",0.632,
