,Unnamed: 0,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes,Conversion_in_kWh
0,0,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2020,"Metric tons,  thousand",25934.0,,129670000000.0
1,1,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2019,"Metric tons,  thousand",26472.0,,132360000000.0
2,2,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2018,"Metric tons,  thousand",28200.0,,141000000000.0
3,3,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2017,"Metric tons,  thousand",28069.0,,140345000000.0
4,4,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2016,"Metric tons,  thousand",26114.0,,130570000000.0
5,5,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2015,"Metric tons,  thousand",22757.0,,113785000000.0
6,6,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2014,"Metric tons,  thousand",21244.0,,106220000000.0
7,7,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2013,"Metric tons,  thousand",22527.0,,112635000000.0
8,8,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2012,"Metric tons,  thousand",23095.0,,115475000000.0
9,9,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2011,"Metric tons,  thousand",23589.0,,117945000000.0
10,10,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2010,"Metric tons,  thousand",25190.0,,125950000000.0
11,11,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2009,"Metric tons,  thousand",48560.0,,242800000000.0
12,12,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2008,"Metric tons,  thousand",46105.0,,230525000000.0
13,13,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2007,"Metric tons,  thousand",47397.0,,236985000000.0
14,14,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2006,"Metric tons,  thousand",46590.0,,232950000000.0
15,15,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2005,"Metric tons,  thousand",44782.0,,223910000000.0
16,16,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2004,"Metric tons,  thousand",41849.0,,209245000000.0
17,17,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2003,"Metric tons,  thousand",39387.0,,196935000000.0
18,18,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2002,"Metric tons,  thousand",34135.0,,170675000000.0
19,19,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2001,"Metric tons,  thousand",31843.0,,159215000000.0
20,20,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,2000,"Metric tons,  thousand",23262.0,,116310000000.0
21,21,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1999,"Metric tons,  thousand",22984.0,,114920000000.0
22,22,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1998,"Metric tons,  thousand",21651.0,,108255000000.0
23,23,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1997,"Metric tons,  thousand",21159.0,,105795000000.0
24,24,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1996,"Metric tons,  thousand",21052.0,,105260000000.0
25,25,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1995,"Metric tons,  thousand",19973.0,,99865000000.0
26,26,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1994,"Metric tons,  thousand",20326.0,,101630000000.0
27,27,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1993,"Metric tons,  thousand",18057.0,,90285000000.0
28,28,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1992,"Metric tons,  thousand",18000.0,,90000000000.0
29,29,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1991,"Metric tons,  thousand",17316.0,,86580000000.0
30,30,Australia,Sub-bituminous coal - Production,Sub-bituminous coal,Production,1990,"Metric tons,  thousand",16780.0,,83900000000.0
31,31,Australia,Sub-bituminous coal - Stock changes,Sub-bituminous coal,Stock changes,2002,"Metric tons,  thousand",2934.0,,14670000000.0
32,32,Australia,Sub-bituminous coal - Stock changes,Sub-bituminous coal,Stock changes,2001,"Metric tons,  thousand",1583.0,,7915000000.0
33,33,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2019,"Metric tons,  thousand",23478.0,,117390000000.0
34,34,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2018,"Metric tons,  thousand",25022.0,,125110000000.0
35,35,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2017,"Metric tons,  thousand",25036.0,,125180000000.0
36,36,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2016,"Metric tons,  thousand",23197.0,,115985000000.0
37,37,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2015,"Metric tons,  thousand",20531.0,,102655000000.0
38,38,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2014,"Metric tons,  thousand",18934.0,,94670000000.0
39,39,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2013,"Metric tons,  thousand",20343.0,,101715000000.0
40,40,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2012,"Metric tons,  thousand",20883.0,,104415000000.0
41,41,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2011,"Metric tons,  thousand",21309.0,,106545000000.0
42,42,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2010,"Metric tons,  thousand",22740.0,,113700000000.0
43,43,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2009,"Metric tons,  thousand",45955.0,,229775000000.0
44,44,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2008,"Metric tons,  thousand",43340.0,,216700000000.0
45,45,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2007,"Metric tons,  thousand",44763.0,,223815000000.0
46,46,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2006,"Metric tons,  thousand",44013.0,,220065000000.0
47,47,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2005,"Metric tons,  thousand",42136.0,,210680000000.0
48,48,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2004,"Metric tons,  thousand",39612.0,,198060000000.0
49,49,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2003,"Metric tons,  thousand",37236.0,,186180000000.0
50,50,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2002,"Metric tons,  thousand",28757.0,,143785000000.0
51,51,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2001,"Metric tons,  thousand",27917.0,,139585000000.0
52,52,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,2000,"Metric tons,  thousand",20586.0,,102930000000.0
53,53,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1999,"Metric tons,  thousand",20163.0,,100815000000.0
54,54,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1998,"Metric tons,  thousand",18844.0,,94220000000.0
55,55,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1997,"Metric tons,  thousand",18299.0,,91495000000.0
56,56,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1996,"Metric tons,  thousand",18157.0,,90785000000.0
57,57,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1995,"Metric tons,  thousand",17139.0,,85695000000.0
58,58,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1994,"Metric tons,  thousand",17619.0,,88095000000.0
59,59,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1993,"Metric tons,  thousand",15286.0,,76430000000.0
60,60,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1992,"Metric tons,  thousand",15347.0,,76735000000.0
61,61,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1991,"Metric tons,  thousand",14790.0,,73950000000.0
62,62,Australia,Sub-bituminous coal - Transformation,Sub-bituminous coal,Transformation,1990,"Metric tons,  thousand",14284.0,,71420000000.0
63,63,Australia,"Sub-bituminous coal - Transformation in electricity, CHP and heat plants",Sub-bituminous coal,"Transformation in electricity, CHP and heat plants",2019,"Metric tons,  thousand",23478.0,,117390000000.0
64,64,Australia,"Sub-bituminous coal - Transformation in electricity, CHP and heat plants",Sub-bituminous coal,"Transformation in electricity, CHP and heat plants",2018,"Metric tons,  thousand",25022.0,,125110000000.0
65,65,Australia,"Sub-bituminous coal - Transformation in electricity, CHP and heat plants",Sub-bituminous coal,"Transformation in electricity, CHP and heat plants",2017,"Metric tons,  thousand",25036.0,,125180000000.0
