,Unnamed: 0,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes,Conversion_in_kWh
0,0,Australia,Industrial Waste - Production,Industrial Waste,Production,2020,Terajoules,3911.532,,1086537535.8960001
1,1,Australia,Industrial Waste - Production,Industrial Waste,Production,2019,Terajoules,3609.0,,1002500802.0
2,2,Australia,Industrial Waste - Production,Industrial Waste,Production,2018,Terajoules,3785.0,,1051389730.0
3,3,Australia,Industrial Waste - Production,Industrial Waste,Production,2017,Terajoules,3770.529,,1047370004.562
4,4,Australia,Industrial Waste - Production,Industrial Waste,Production,2016,Terajoules,3915.0,,1087500870.0
5,5,Australia,Industrial Waste - Production,Industrial Waste,Production,2015,Terajoules,3899.0,,1083056422.0
6,6,Australia,Industrial Waste - Production,Industrial Waste,Production,2014,Terajoules,4177.0,,1160278706.0
7,7,Australia,Industrial Waste - Production,Industrial Waste,Production,2013,Terajoules,4611.0,,1280834358.0
8,8,Australia,Industrial Waste - Production,Industrial Waste,Production,2012,Terajoules,4527.0,,1257501006.0
9,9,Australia,Industrial Waste - Production,Industrial Waste,Production,2011,Terajoules,4276.0,,1187778728.0
10,10,Australia,Industrial Waste - Production,Industrial Waste,Production,2010,Terajoules,4168.0,,1157778704.0
11,11,Australia,Industrial Waste - Production,Industrial Waste,Production,2009,Terajoules,3778.0,,1049445284.0
12,12,Australia,Industrial Waste - Production,Industrial Waste,Production,2008,Terajoules,4332.0,,1203334296.0
13,13,Australia,Industrial Waste - Production,Industrial Waste,Production,2007,Terajoules,4236.0,,1176667608.0
14,14,Australia,Industrial Waste - Production,Industrial Waste,Production,2006,Terajoules,4345.0,,1206945410.0
15,15,Australia,Industrial Waste - Production,Industrial Waste,Production,2005,Terajoules,4273.0,,1186945394.0
16,16,Australia,Industrial Waste - Production,Industrial Waste,Production,2004,Terajoules,6464.0,,1795556992.0
17,17,Australia,Industrial Waste - Production,Industrial Waste,Production,2003,Terajoules,6200.0,,1722223600.0
18,18,Australia,Industrial Waste - Production,Industrial Waste,Production,2002,Terajoules,6179.0,,1716390262.0
19,19,Australia,Industrial Waste - Production,Industrial Waste,Production,2001,Terajoules,5881.0,,1633612418.0
20,20,Australia,Industrial Waste - Production,Industrial Waste,Production,2000,Terajoules,7490.0,,2080557220.0
21,21,Australia,Industrial Waste - Production,Industrial Waste,Production,1999,Terajoules,7490.0,,2080557220.0
22,22,Australia,Industrial Waste - Production,Industrial Waste,Production,1998,Terajoules,7414.0,,2059446092.0
23,23,Australia,Industrial Waste - Production,Industrial Waste,Production,1997,Terajoules,7204.0,,2001112712.0
24,24,Australia,Industrial Waste - Production,Industrial Waste,Production,1996,Terajoules,6888.0,,1913334864.0
25,25,Australia,Industrial Waste - Production,Industrial Waste,Production,1995,Terajoules,7823.0,,2173057294.0
26,26,Australia,Industrial Waste - Production,Industrial Waste,Production,1994,Terajoules,7295.0,,2026390510.0
27,27,Australia,Industrial Waste - Production,Industrial Waste,Production,1993,Terajoules,8134.0,,2259446252.0
28,28,Australia,Industrial Waste - Production,Industrial Waste,Production,1992,Terajoules,7570.0,,2102779460.0
29,29,Australia,Industrial Waste - Production,Industrial Waste,Production,1991,Terajoules,7669.0,,2130279482.0
30,30,Australia,Industrial Waste - Production,Industrial Waste,Production,1990,Terajoules,7767.0,,2157501726.0
31,31,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2019,Terajoules,3609.0,,1002500802.0
32,32,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2018,Terajoules,3785.0,,1051389730.0
33,33,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2017,Terajoules,3770.529,,1047370004.562
34,34,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2016,Terajoules,3915.0,,1087500870.0
35,35,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2015,Terajoules,3899.0,,1083056422.0
36,36,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2014,Terajoules,4177.0,,1160278706.0
37,37,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2013,Terajoules,4611.0,,1280834358.0
38,38,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2012,Terajoules,4527.0,,1257501006.0
39,39,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2011,Terajoules,4276.0,,1187778728.0
40,40,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2010,Terajoules,4168.0,,1157778704.0
41,41,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2009,Terajoules,3778.0,,1049445284.0
42,42,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2008,Terajoules,4332.0,,1203334296.0
43,43,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2007,Terajoules,4236.0,,1176667608.0
44,44,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2006,Terajoules,4345.0,,1206945410.0
45,45,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2005,Terajoules,4273.0,,1186945394.0
46,46,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2004,Terajoules,6464.0,,1795556992.0
47,47,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2003,Terajoules,6200.0,,1722223600.0
48,48,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2002,Terajoules,6179.0,,1716390262.0
49,49,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2001,Terajoules,5881.0,,1633612418.0
50,50,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,2000,Terajoules,7490.0,,2080557220.0
51,51,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1999,Terajoules,7490.0,,2080557220.0
52,52,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1998,Terajoules,7414.0,,2059446092.0
53,53,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1997,Terajoules,7204.0,,2001112712.0
54,54,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1996,Terajoules,6888.0,,1913334864.0
55,55,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1995,Terajoules,7823.0,,2173057294.0
56,56,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1994,Terajoules,7295.0,,2026390510.0
57,57,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1993,Terajoules,8134.0,,2259446252.0
58,58,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1992,Terajoules,7570.0,,2102779460.0
59,59,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1991,Terajoules,7669.0,,2130279482.0
60,60,Australia,Industrial Waste - Final energy consumption,Industrial Waste,Final energy consumption,1990,Terajoules,7767.0,,2157501726.0
61,61,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2019,Terajoules,3609.0,,1002500802.0
62,62,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2018,Terajoules,3785.0,,1051389730.0
63,63,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2017,Terajoules,3770.529,,1047370004.562
64,64,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2016,Terajoules,3915.0,,1087500870.0
65,65,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2015,Terajoules,3899.0,,1083056422.0
66,66,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2014,Terajoules,4177.0,,1160278706.0
67,67,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2013,Terajoules,4611.0,,1280834358.0
68,68,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2012,Terajoules,4527.0,,1257501006.0
69,69,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2011,Terajoules,4276.0,,1187778728.0
70,70,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2010,Terajoules,4168.0,,1157778704.0
71,71,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2009,Terajoules,3778.0,,1049445284.0
72,72,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2008,Terajoules,4332.0,,1203334296.0
73,73,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2007,Terajoules,4236.0,,1176667608.0
74,74,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2006,Terajoules,4345.0,,1206945410.0
75,75,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2005,Terajoules,4273.0,,1186945394.0
76,76,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2004,Terajoules,6464.0,,1795556992.0
77,77,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2003,Terajoules,6200.0,,1722223600.0
78,78,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2002,Terajoules,6179.0,,1716390262.0
79,79,Australia,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",Industrial Waste,"Consumption by manufacturing, construction and non-fuel industry",2001,Terajoules,5881.0,,1633612418.0
