,Unnamed: 0,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes,Conversion_in_kWh
0,0,Armenia,Coal Tar - Imports,Coal Tar,Imports,2020,"Metric tons,  thousand",0.00047,,3651.9
1,1,Armenia,Coal Tar - Total energy supply,Coal Tar,Total energy supply,2020,"Metric tons,  thousand",0.00047,,3651.9
2,2,Australia,Coal Tar - Production,Coal Tar,Production,2020,"Metric tons,  thousand",154.0,,1196580000.0
3,3,Australia,Coal Tar - Production,Coal Tar,Production,2019,"Metric tons,  thousand",148.0,,1149960000.0
4,4,Australia,Coal Tar - Production,Coal Tar,Production,2018,"Metric tons,  thousand",161.0,,1250970000.0
5,5,Australia,Coal Tar - Production,Coal Tar,Production,2017,"Metric tons,  thousand",167.0,,1297590000.0
6,6,Australia,Coal Tar - Production,Coal Tar,Production,2016,"Metric tons,  thousand",164.0,,1274280000.0
7,7,Australia,Coal Tar - Production,Coal Tar,Production,2015,"Metric tons,  thousand",42.0,,326340000.0
8,8,Australia,Coal Tar - Production,Coal Tar,Production,2014,"Metric tons,  thousand",40.0,,310800000.0
9,9,Australia,Coal Tar - Production,Coal Tar,Production,2013,"Metric tons,  thousand",39.0,,303030000.0
10,10,Australia,Coal Tar - Production,Coal Tar,Production,2012,"Metric tons,  thousand",39.0,,303030000.0
11,11,Australia,Coal Tar - Production,Coal Tar,Production,2011,"Metric tons,  thousand",37.0,,287490000.0
12,12,Australia,Coal Tar - Production,Coal Tar,Production,2010,"Metric tons,  thousand",39.0,,303030000.0
13,13,Australia,Coal Tar - Production,Coal Tar,Production,2009,"Metric tons,  thousand",108.0,,839160000.0
14,14,Australia,Coal Tar - Production,Coal Tar,Production,2008,"Metric tons,  thousand",167.0,,1297590000.0
15,15,Australia,Coal Tar - Production,Coal Tar,Production,2007,"Metric tons,  thousand",169.0,,1313130000.0
16,16,Australia,Coal Tar - Production,Coal Tar,Production,2006,"Metric tons,  thousand",170.0,,1320900000.0
17,17,Australia,Coal Tar - Production,Coal Tar,Production,2005,"Metric tons,  thousand",170.0,,1320900000.0
18,18,Australia,Coal Tar - Production,Coal Tar,Production,2004,"Metric tons,  thousand",221.0,,1717170000.0
19,19,Australia,Coal Tar - Production,Coal Tar,Production,2003,"Metric tons,  thousand",380.0,,2952600000.0
20,20,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2017,"Metric tons,  thousand",1.0,,7770000.0
21,21,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2016,"Metric tons,  thousand",0.0,,0.0
22,22,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2015,"Metric tons,  thousand",1.0,,7770000.0
23,23,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2014,"Metric tons,  thousand",1.0,,7770000.0
24,24,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2013,"Metric tons,  thousand",1.0,,7770000.0
25,25,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2012,"Metric tons,  thousand",1.0,,7770000.0
26,26,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2009,"Metric tons,  thousand",10.0,,77700000.0
27,27,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2008,"Metric tons,  thousand",17.0,,132090000.0
28,28,Australia,Coal Tar - Energy industries own use,Coal Tar,Energy industries own use,2007,"Metric tons,  thousand",17.0,,132090000.0
29,29,Australia,Coal Tar - Own use by coke ovens,Coal Tar,Own use by coke ovens,2017,"Metric tons,  thousand",1.0,,7770000.0
30,30,Australia,Coal Tar - Own use by coke ovens,Coal Tar,Own use by coke ovens,2016,"Metric tons,  thousand",0.0,,0.0
31,31,Australia,Coal Tar - Own use by coke ovens,Coal Tar,Own use by coke ovens,2015,"Metric tons,  thousand",1.0,,7770000.0
32,32,Australia,Coal Tar - Own use by coke ovens,Coal Tar,Own use by coke ovens,2014,"Metric tons,  thousand",1.0,,7770000.0
33,33,Australia,Coal Tar - Own use by coke ovens,Coal Tar,Own use by coke ovens,2013,"Metric tons,  thousand",1.0,,7770000.0
34,34,Australia,Coal Tar - Own use by coke ovens,Coal Tar,Own use by coke ovens,2012,"Metric tons,  thousand",1.0,,7770000.0
35,35,Australia,Coal Tar - Own use by oil refineries,Coal Tar,Own use by oil refineries,2009,"Metric tons,  thousand",10.0,,77700000.0
36,36,Australia,Coal Tar - Own use by oil refineries,Coal Tar,Own use by oil refineries,2008,"Metric tons,  thousand",17.0,,132090000.0
37,37,Australia,Coal Tar - Own use by oil refineries,Coal Tar,Own use by oil refineries,2007,"Metric tons,  thousand",17.0,,132090000.0
38,38,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2019,"Metric tons,  thousand",148.0,,1149960000.0
39,39,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2018,"Metric tons,  thousand",161.0,,1250970000.0
40,40,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2017,"Metric tons,  thousand",166.0,,1289820000.0
41,41,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2016,"Metric tons,  thousand",164.0,,1274280000.0
42,42,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2015,"Metric tons,  thousand",41.0,,318570000.0
43,43,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2014,"Metric tons,  thousand",39.0,,303030000.0
44,44,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2013,"Metric tons,  thousand",38.0,,295260000.0
45,45,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2012,"Metric tons,  thousand",38.0,,295260000.0
46,46,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2011,"Metric tons,  thousand",37.0,,287490000.0
47,47,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2010,"Metric tons,  thousand",39.0,,303030000.0
48,48,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2009,"Metric tons,  thousand",42.0,,326340000.0
49,49,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2008,"Metric tons,  thousand",53.0,,411810000.0
50,50,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2007,"Metric tons,  thousand",51.0,,396270000.0
51,51,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2006,"Metric tons,  thousand",132.0,,1025640000.0
52,52,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2005,"Metric tons,  thousand",131.0,,1017870000.0
53,53,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2004,"Metric tons,  thousand",48.0,,372960000.0
54,54,Australia,Coal Tar - Final energy consumption,Coal Tar,Final energy consumption,2003,"Metric tons,  thousand",48.0,,372960000.0
55,55,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2019,"Metric tons,  thousand",148.0,,1149960000.0
56,56,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2018,"Metric tons,  thousand",161.0,,1250970000.0
57,57,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2017,"Metric tons,  thousand",166.0,,1289820000.0
58,58,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2016,"Metric tons,  thousand",164.0,,1274280000.0
59,59,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2015,"Metric tons,  thousand",41.0,,318570000.0
60,60,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2014,"Metric tons,  thousand",39.0,,303030000.0
61,61,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2013,"Metric tons,  thousand",38.0,,295260000.0
62,62,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2012,"Metric tons,  thousand",38.0,,295260000.0
63,63,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2011,"Metric tons,  thousand",37.0,,287490000.0
64,64,Australia,"Coal Tar - Consumption by manufacturing, construction and non-fuel mining industry",Coal Tar,"Consumption by manufacturing, construction and non-fuel mining industry",2010,"Metric tons,  thousand",39.0,,303030000.0
